coreid,compositedepth,TOC_mg_g,Weighted_mean_SR,Weighted_mean_age,Mean_OCAR,Min_OCAR,Max_OCAR
BN2016-1,82.0,33.4,0.08560010076354545,1574.0000000000002,12.846963111926637,2.264035157049732,88.00183175243222
BN2016-1,84.0,34.6,0.08777925944275873,1615.8000000000004,13.654573913462649,2.4096946378258686,91.06749219723167
BN2016-1,86.0,47.9,0.08485117873476049,1657.0,17.34861352122712,3.0809862080923693,120.0890035115865
BN2016-1,89.0,36.6,0.08768524125841566,1719.4,14.409870756708136,2.3630060476958152,97.53993757338344
BN2016-1,91.0,35.5,0.08149569902099113,1761.2000000000005,13.017731316516471,2.4319392096517123,85.16364717235285
BN2016-1,94.0,46.3,0.08192127880703784,1825.0,16.474185500375405,2.935405485924669,117.70209054802191
BN2016-1,96.0,39.7,0.08231575777741397,1868.0,14.593269714322663,2.611555318762255,98.93490870994395
BN2016-1,98.0,57.4,0.07995029200154899,1911.6,19.18505546864133,3.446756591736111,134.3720604940129
BN2016-1,101.0,49.4,0.07789208479359018,1978.0,16.66587371148252,3.0047497048989746,114.88790410765705
BN2016-1,103.0,42.5,0.07934449206834174,2022.4,15.00101253327562,2.45668812893896,109.7449931431254
BN2016-1,106.0,38.5,0.07521808916752366,2091.4,13.159978160179278,1.5033988515358756,103.96379189862358
Co1309,3.0,35.814161940789496,0.1054194015024383,1764.0,16.635479390653774,1.1946623787834785,157.80282522538323
Co1309,11.0,22.429409754098398,0.1054761923664804,2153.5,11.394224181491952,0.8178256537922879,108.02650271923312
Co1309,19.0,20.278458176100603,0.10628858445739106,2536.75,10.466021059024271,0.7365965242202793,98.46796918459187
Co1309,27.0,25.4564110091743,0.1042785737486255,2928.75,12.44292309445323,0.8159771895640345,119.32387111899142
Co1309,35.0,26.713316622950803,0.12037498217924443,3361.0,14.984674094825401,0.7170737868397452,124.48329232159273
Co1309,43.0,24.258291029900303,0.13169844093447047,3805.75,15.400946830223514,0.7241467452771831,116.94099581548275
Co1309,51.0,26.6935615407855,0.1233099986899582,4223.0,15.642441609660015,0.7855359126894425,126.8546085138663
Co1309,59.0,23.55845936,0.12353261182839716,4630.5,14.437496304226984,0.7274413454378963,116.87194248173543
Co1309,67.0,21.113981878980898,0.12776522858409292,5031.5,13.51863351846884,0.6621996785357428,105.80839300554379
Co1309,75.0,20.383008551532,0.12439335151061645,5424.5,12.879922206150978,0.6480147897162187,103.54188587845654
Co1309,83.0,24.661799255952396,0.12041167432910545,5822.0,15.072028472756895,0.7563648789372531,125.1708238153262
Co1309,91.0,28.125008962264104,0.1238375628661005,6235.5,17.50136879755952,0.8929875831811076,141.32520369835518
Co1309,99.0,26.672763658536603,0.12314883098981605,6632.5,16.867886679653463,0.8591846095504092,136.97155339662442
Co1309,107.0,24.4749696969697,0.12465417545941325,7058.5,16.03699119940333,0.7675117666591416,128.65185735093883
Co1309,115.0,24.742458843930603,0.12189889052357647,7484.75,15.983940430195727,0.8022054670228034,131.1245767827909
Co1309,123.0,21.5800269306931,0.11836404545418355,7945.25,13.982644075696324,0.536697411208277,118.13252936770176
Co1309,131.0,18.7463018867925,0.034737147914717215,8639.5,3.619423454965784,0.10049092748044436,17.297722763383188
Co1309,140.0,15.7687317073171,0.16849057081305782,9070.5,15.149699550569737,0.6273275311138174,54.13269464555668
Co1309,147.0,13.679506331521699,0.17337477934988155,9306.0,12.827696879337115,0.5162127139852306,48.393743155611524
Co1309,155.0,9.173656075949369,0.23152745587921064,9561.0,12.316124304311266,0.3283647651199131,53.19509194942593
Co1309,163.0,7.97149102209945,0.2351993522031849,9765.5,11.730063716585288,0.49468697982648707,49.8728572451674
Co1309,171.0,6.477510761904759,0.23943692797521104,9953.5,9.90558433780738,0.40074712916320504,41.370328384905214
Co1309,179.0,5.86450975609756,0.24290131888064995,10139.25,9.393627952180802,0.37461480255341073,38.67260991199632
Co1309,187.0,5.010575806451611,0.2397708482024845,10333.0,7.962881376120626,0.2816276862433777,33.21038164487802
Co1309,195.0,3.9526227762039703,0.236207994616561,10524.5,6.247950041799099,0.24953823014464727,26.451052395332614
Co1309,203.0,2.8783231563421805,0.3826893697916545,10700.75,6.984970575986003,0.3558253850699051,39.15661425924042
Co1309,211.0,2.45047547169811,0.4151405054708937,10790.25,6.743651477382968,0.31345998422317456,41.874459160021026
Co1309,219.0,4.43098220670391,0.4325891332673689,10873.0,13.64852649105831,0.6043686344601936,83.28042361820164
Co1309,227.0,3.99303309941521,0.4342572250100616,10955.0,11.993323935547593,0.5273999212147867,71.36656682887637
Co1309,235.0,2.9359018289085603,0.6051482892227392,11021.75,12.274491518777475,0.6975341598435764,79.35988038275235
Co1309,243.0,3.13401356382979,0.6128278449951938,11072.5,13.408068726089457,0.7436887597979446,85.60261692944125
Co1309,251.0,2.3735064406779705,0.5995084945693893,11122.0,10.095769546318053,0.5697139911828849,65.81492640219582
Co1309,259.0,3.16391947194719,0.6067010401038972,11171.25,13.977809757092752,0.7731210302782344,88.59315529164448
Co1309,267.0,3.2697304221635894,0.6912589848363203,11218.75,17.11096758820279,0.8295250075972905,96.13630125336414
Co1309,275.0,2.56813746031746,0.8086812901217173,11255.5,15.446898772346795,1.1952832239774442,92.81820939551301
