CompositeDepth,TOC_mg_g,DBD_min,DBD_max,DBD_mean,CoreID
98.0,57.4,0.3688801697357431,0.5254049854780457,0.4255255264682338,BN2016-1
101.0,49.4,0.3834034746885179,0.5368945315380447,0.43993334140461904,BN2016-1
103.0,42.5,0.39504936681582237,0.565349491082269,0.45421176199051044,BN2016-1
106.0,38.5,0.4009522824870774,0.5607251080176555,0.46233410767445726,BN2016-1
112.0,48.9,0.3880724318696473,0.5413717823756,0.4472158201045152,BN2016-1
147.0,3.1,0.485383646839508,0.6774516126336364,0.5589366368923029,CON01-603-5
149.0,3.1,0.4851344462389429,0.6849096343942755,0.5601540349957008,CON01-603-5
151.0,3.6,0.48575218991724145,0.6814874851565386,0.5606378960242352,CON01-603-5
153.0,3.1,0.48743933656338007,0.6835971101803145,0.5627319559008457,CON01-603-5
155.0,3.2,0.4894373360399029,0.6846923133869658,0.5634208576832059,CON01-603-5
157.0,3.2,0.4925579524556291,0.7087308375429782,0.564509493886563,CON01-603-5
159.0,3.0,0.4929728024453795,0.6926538026973041,0.5659817018475991,CON01-603-5
161.0,2.8,0.49354772165504196,0.6940050029561575,0.5681533181700091,CON01-603-5
163.0,2.9,0.4949876355030587,0.7180879493833557,0.5691928250091116,CON01-603-5
165.0,2.7,0.4962457083968317,0.7065620346762141,0.5718586973427414,CON01-603-5
167.0,2.7,0.49789933865343394,0.7048584507792421,0.5731421308447424,CON01-603-5
169.0,3.5,0.49846621027749477,0.7016275069235648,0.5724138550543377,CON01-603-5
171.0,4.2,0.497511583409476,0.686330784447786,0.5716459054233329,CON01-603-5
173.0,3.1,0.49923978982591877,0.717218783666432,0.5755109053237507,CON01-603-5
175.0,3.4,0.5013008992462326,0.7076389186123458,0.5759713124218068,CON01-603-5
177.0,3.2,0.5022244658773083,0.725658358035986,0.5789968756322939,CON01-603-5
179.0,3.8,0.5027983915823306,0.7245994244947694,0.5790437856333958,CON01-603-5
181.0,4.0,0.5040482011255303,0.7026528159890123,0.5792996809267638,CON01-603-5
183.0,3.9,0.5039433220274027,0.7186318635845517,0.5809344143302873,CON01-603-5
185.0,4.0,0.5050220446941163,0.6986301796243165,0.5816087330578056,CON01-603-5
187.0,4.4,0.5064496551747866,0.7017037169804377,0.5834683955123457,CON01-603-5
