CoreID,CompositeDepth,TOC_percent,TOC_mg_g
PG1111,47,0.744,7.44
PG1111,54,0.626,6.26
PG1111,64,0.611,6.11
PG1111,74,0.631,6.31
PG1111,109,0.645,6.45
PG1111,119,0.587,5.87
PG1111,129,0.636,6.36
PG1111,139,0.616,6.16
PG1111,149,0.638,6.38
PG1111,159,0.569,5.69
PG1111,184,0.667,6.67
PG1111,194,0.704,7.04
PG1111,204,0.655,6.55
PG1111,214,0.69,6.9
PG1111,224,0.663,6.63
PG1111,234,0.641,6.41
PG1111,244,0.556,5.56
PG1111,254,0.681,6.81
PG1111,264,0.695,6.95
PG1111,274,0.726,7.26
PG1111,284,0.778,7.78
PG1111,294,0.814,8.14
PG1111,304,0.746,7.46
PG1111,307,0.687,6.87
PG1111,317,0.688,6.88
PG1111,327,0.693,6.93
PG1111,337,0.728,7.28
PG1111,347,0.691,6.91
PG1111,357,0.71,7.1
PG1111,367,0.532,5.32
PG1111,377,0.557,5.57
PG1111,387,0.548,5.48
PG1111,397,0.53,5.3
PG1111,407,0.553,5.53
PG1111,417,0.525,5.25
PG1111,427,0.595,5.95
PG1111,437,0.612,6.12
PG1111,447,0.621,6.21
PG1111,457,0.538,5.38
PG1111,467,0.516,5.16
PG1111,477,0.503,5.03
PG1111,482,0.45,4.5
PG1111,492,0.457,4.57
PG1111,502,0.48,4.8
PG1111,507,0.679,6.79
PG1111,517,0.915,9.15
PG1111,527,0.788,7.88
PG1111,542,0.875,8.75
PG1111,552,0.879,8.79
PG1111,562,0.87,8.7
PG1111,572,0.86,8.6
PG1111,592,0.765,7.65
PG1111,595,0.72,7.2
PG1111,615,0.665,6.65
PG1111,625,0.705,7.05
PG1111,630,0.731,7.31
PG1111,640,0.67,6.7
PG1111,655,0.548,5.48
PG1111,660,0.49,4.9
PG1111,670,0.576,5.76
PG1111,675,0.531,5.31
PG1111,680,0.554,5.54
PG1111,690,0.64,6.4
PG1111,710,0.666,6.66
PG1111,720,0.694,6.94
PG1111,730,0.572,5.72
PG1111,740,0.382,3.82
PG1111,750,0.349,3.49
PG1111,760,0.255,2.55
PG1111,770,0.236,2.36
PG1111,790,0.204,2.04
PG1111,800,0.194,1.94
PG1111,810,0.174,1.74
PG1111,820,0.182,1.82
PG1111,830,0.187,1.87
PG1111,840,0.185,1.85
PG1111,850,0.183,1.83
PG1111,860,0.111,1.11
PG1111,870,0.148,1.48
PG1111,880,0.097,0.97
PG1111,890,0.145,1.45
PG1111,900,0.09,0.9
PG1111,910,0.097,0.97
PG1111,920,0.105,1.05
PG1111,930,0.107,1.07
PG1111,940,0.106,1.06
PG1111,950,0.084,0.84
PG1111,960,0.097,0.97
PG1111,970,0.089,0.89
PG1111,980,0.103,1.03
PG1111,990,0.127,1.27
PG1111,1000,0.085,0.85
PG1111,1010,0.084,0.84
PG1111,1020,0.091,0.91
PG1111,1030,0.078,0.78
PG1111,1040,0.083,0.83
PG1111,1050,0.058,0.58
PG1111,1060,0.096,0.96
PG1111,1070,0.119,1.19
PG1111,1080,0.101,1.01
PG1111,1090,0.119,1.19
PG1111,1100,0.049,0.49
PG1111,1110,0.118,1.18
PG1341,1,1.17,11.7
PG1341,17,0.73,7.3
PG1341,33,0.77,7.7
PG1341,49,0.7,7
PG1341,65,0.72,7.2
PG1341,81,0.63,6.3
PG1341,97,0.85,8.5
PG1341,113,0.65,6.5
PG1341,129,0.7,7
PG1341,145,0.72,7.2
PG1341,161,0.7,7
PG1341,177,0.69,6.9
PG1341,193,0.69,6.9
PG1341,209,0.66,6.6
PG1341,219,0.7,7
PG1341,225,0.67,6.7
PG1341,233,0.69,6.9
PG1341,241,0.65,6.5
PG1341,249,0.66,6.6
PG1341,257,0.68,6.8
PG1341,265,0.61,6.1
PG1341,281,0.52,5.2
PG1341,297,0.56,5.6
PG1341,313,0.51,5.1
PG1341,329,0.49,4.9
PG1341,345,0.46,4.6
PG1341,361,0.81,8.1
PG1341,377,0.81,8.1
PG1341,393,0.87,8.7
PG1341,409,0.77,7.7
PG1341,425,0.68,6.8
PG1341,441,0.68,6.8
PG1341,457,0.62,6.2
PG1341,465,0.59,5.9
PG1341,473,0.48,4.8
PG1341,481,0.51,5.1
PG1341,489,0.52,5.2
PG1341,497,0.54,5.4
PG1341,505,0.54,5.4
PG1341,513,0.54,5.4
PG1341,529,0.63,6.3
PG1341,545,0.48,4.8
PG1341,561,0.34,3.4
PG1341,577,0.17,1.7
PG1341,593,0.14,1.4
PG1341,609,0.19,1.9
PG1341,625,0.15,1.5
PG1341,641,0.14,1.4
PG1341,657,0.12,1.2
PG1341,673,0.15,1.5
PG1341,689,0.14,1.4
PG1341,705,0.08,0.8
PG1341,715,0.15,1.5
PG1341,721,0.1,1
PG1341,729,0.08,0.8
PG1341,737,0.13,1.3
PG1341,745,0.09,0.9
PG1341,753,0.13,1.3
PG1341,761,0.09,0.9
PG1341,777,0.1,1
PG1341,793,0.09,0.9
PG1341,809,0.08,0.8
PG1341,825,0.08,0.8
PG1341,841,0.12,1.2
PG1341,857,0.08,0.8
PG1341,873,0.08,0.8
PG1341,889,0.1,1
PG1341,905,0.08,0.8
PG1341,921,0.08,0.8
PG1341,937,0.08,0.8
PG1341,953,0.08,0.8
PG1341,961,0.08,0.8
PG1341,969,0.08,0.8
PG1341,985,0.07,0.7
PG1341,993,0.07,0.7
PG1341,1001,0.09,0.9
PG1341,1009,0.05,0.5
PG1341,1025,0.07,0.7
PG1341,1043,0.07,0.7
PG1341,1059,0.06,0.6
PG1341,1073,0.07,0.7
PG1341,1089,0.04,0.4
PG1341,1105,0.06,0.6
PG1341,1121,0.08,0.8
PG1341,1137,0.08,0.8
PG1341,1153,0.07,0.7
PG1341,1169,0.06,0.6
PG1341,1185,0.09,0.9
PG1341,1201,0.07,0.7
PG1341,1211,0.07,0.7
PG1341,1217,0.07,0.7
PG1341,1227,0.08,0.8
PG1341,1233,0.08,0.8
PG1341,1243,0.06,0.6
PG1341,1249,0.07,0.7
PG1341,1259,0.07,0.7
PG1341,1275,0.08,0.8
PG1341,1291,0.07,0.7
PG1341,1307,0.09,0.9
PG1341,1323,0.05,0.5
PG1341,1339,0.07,0.7
PG1341,1355,0.07,0.7
PG1341,1369,0.07,0.7
PG1341,1387,0.07,0.7
PG1341,1405,0.07,0.7
PG1341,1419,0.07,0.7
PG1341,1435,0.06,0.6
PG1341,1451,0.09,0.9
PG1341,1461,0.12,1.2
PG1341,1467,0.05,0.5
PG1341,1477,0.07,0.7
PG1341,1483,0.08,0.8
PG1341,1493,0.08,0.8
PG1341,1499,0.04,0.4
PG1341,1511,0.06,0.6
PG1341,1525,0.07,0.7
PG1341,1543,0.07,0.7
PG1341,1557,0.08,0.8
PG1341,1573,0.07,0.7
