CoreID,CompositeDepth,DryBulkDensity,WaterContent,WetBulkDensity,TOC_percent,TOC_mg_g
PG1228,621,0.77983488,38.46,1.2672,3.4,34
PG1228,646,0.88901736,38.68,1.4498,3.72,37.2
PG1228,661,0.7984864,39.2,1.3133,3.44,34.4
PG1228,681,0.92528364,35.86,1.4426,3.09,30.9
PG1228,701,0.88008844,39.17,1.4468,2.63,26.3
PG1228,721,0.92019532,38.67,1.5004,2.84,28.4
PG1228,761,0.82069431,42.07,1.4167,2.94,29.4
PG1228,801,0.84127101,38.83,1.3753,3.1,31
PG1228,821,0.83488403,40.31,1.3987,2.58,25.8
PG1228,841,0.82763361,39.97,1.3787,2.52,25.2
PG1228,861,0.96452796,31.71,1.4124,2.27,22.7
PG1228,921,1.06366304,28.16,1.4806,2.44,24.4
PG1228,941,1.11053824,28.32,1.5493,2.26,22.6
PG1228,961,0.95931784,28.76,1.3466,1.99,19.9
PG1228,981,1.02162816,31.12,1.4832,1.89,18.9
PG1228,1001,0.92530932,36.04,1.4467,2.81,28.1
PG1228,1021,0.97922086,31.22,1.4237,2.18,21.8
PG1228,1041,1.1461296,29.12,1.617,1.94,19.4
PG1228,1061,0.96659456,30.72,1.3952,1.67,16.7
PG1228,1081,1.13286021,29.43,1.6053,1.82,18.2
PG1228,1101,1.04947643,29.39,1.4863,1.59,15.9
PG1228,1121,1.05117728,30.08,1.5034,1.51,15.1
PG1228,1141,1.087593,29.4,1.5405,1.45,14.5
PG1228,1161,1.13190424,23.12,1.4723,1.69,16.9
PG1228,1181,1.0531402,29.4,1.4917,1.38,13.8
PG1228,1201,1.05771204,29.16,1.4931,1.39,13.9
PG1228,1221,0.8423954,26.85,1.1516,1.36,13.6
PG1228,1261,1.17106896,28.12,1.6292,1.62,16.2
PG1228,1281,1.29814029,17.11,1.5661,1.53,15.3
PG1228,1301,1.13395946,28.38,1.5833,1.48,14.8
PG1228,1321,1.2151464,26.05,1.6432,1.57,15.7
PG1228,1341,1.18198025,27.95,1.6405,1.98,19.8
PG1228,1361,1.09918265,28.35,1.5341,1.4,14
PG1228,1381,0.61725625,24.03,0.8125,1.43,14.3
PG1228,1401,1.1566464,27.2,1.5888,1.34,13.4
PG1228,1421,1.10577984,27.84,1.5324,1.51,15.1
PG1228,1441,1.17289822,25.62,1.5769,1.34,13.4
PG1228,1461,1.14201072,28.66,1.6008,1.34,13.4
