"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21688,-28.6689208984375
21687,-27.2217620849609
21686,-30.9831909179687
21685,-25.8690246582031
21684,-28.041372680664
21683,-27.5353047688802
21682,-27.7853200276692
21681,-23.7011830647786
21680,-22.4797932942708
21679,-24.9391082763672
21678,-26.0703440348307
21677,-41.5645812988281
21676,-28.4961761474609
21675,-25.977402750651
21674,-30.8922485351562
21673,-28.0995493570963
21672,-30.2700663248698
21671,-30.3494476318359
21670,-31.3285685221354
21669,-31.1579396565755
21668,-32.7281860351562
21667,-36.3137420654297
21666,-29.7519185384114
21665,-34.380478922526
21664,-32.7681538899739
21663,-27.2863576253255
21662,-36.4217742919922
21661,-32.2198699951172
21660,-35.9594024658203
21659,-31.9568542480469
21658,-26.1986501057942
21657,-27.1074584960937
21656,-26.3302266438802
21655,-27.4565185546875
21654,-29.0707255045573
21653,-30.0916147867838
21652,-30.3852193196614
21651,-22.2374888102213
21650,-29.8413401285807
21649,-30.5898651123047
21648,-31.2031972249349
21647,-28.3046630859375
21646,-27.954936726888
21645,-30.0202697753906
21644,-29.2272857666015
21643,-30.7494822184245
21642,-26.9152180989583
21641,-27.8847259521484
21640,-31.3959157307942
21639,-30.8801483154297
21638,-25.009619140625
21637,-31.347280883789
21636,-23.0243133544922
21635,-30.4527750651041
21634,-28.8641621907552
21633,-25.2199208577474
21632,-30.6496185302734
21631,-29.9170644124349
21630,-25.6080637613932
21629,-30.4933939615885
21628,-26.5349182128906
21627,-28.2002370198567
21626,-29.6395680745442
21625,-27.9759887695312
21624,-26.6022552490234
21623,-29.9083719889323
21622,-31.4198974609375
21621,-23.8173889160156
21620,-32.7717651367187
21619,-28.0383463541666
21618,-24.7568623860677
21617,-25.5204427083333
21616,-31.0068725585937
21615,-33.0972910563151
21614,-28.9606231689453
21613,-35.4026295979818
21612,-29.7679555257161
21611,-30.8234670003255
21610,-30.8664560953776
21609,-32.1125091552734
21608,-26.9454508463541
21607,-26.6773183186849
21606,-34.5011149088541
21605,-36.0960754394531
21604,-29.7749593098958
21603,-30.9544738769531
21602,-29.7416188557942
21601,-30.3956461588541
21600,-31.3221038818359
21599,-36.8341328938802
21598,-27.8775848388672
21597,-30.7176523844401
21596,-30.5873067220052
21595,-35.3952596028646
21594,-26.2028411865234
21593,-23.5415913899739
21592,-29.0593882242838
21591,-24.9899810791015
21590,-26.2781433105469
21589,-28.2518931070963
21588,-31.4560811360677
21587,-28.7864237467448
21586,-25.9571899414062
21585,-29.5395060221354
21584,-28.296733601888
21583,-28.7155008951823
21582,-26.3854380289713
21581,-32.119497680664
21580,-32.0069234212239
21579,-28.3149119059245
21578,-27.1306671142578
21577,-27.5641845703125
21576,-26.9384623209635
21575,-25.5238352457682
21574,-30.764028930664
21573,-28.4209655761719
21572,-28.6546742757161
21571,-27.524282836914
21570,-36.0139119466146
21569,-31.3303894042969
21568,-22.3499409993489
21567,-30.521348063151
21566,-23.3800109863281
21565,-30.9072123209635
21564,-26.9626017252604
21563,-34.9036926269531
21562,-34.3166005452474
21561,-30.713725789388
21560,-33.374370320638
21559,-31.68759765625
21558,-25.5043395996094
21557,-28.1794291178385
21556,-24.7219197591146
21555,-31.6442016601562
21554,-26.1009735107422
21553,-25.0966552734375
21552,-26.5488698323567
21551,-28.6362569173177
21550,-29.0454162597656
21549,-29.5815999348958
21548,-28.3888865152995
21547,-39.9432790120443
21546,-30.2299713134765
21545,-34.3396769205729
21544,-27.871206665039
21543,-32.2892974853515
21542,-30.1772471110026
21541,-26.4920003255208
21540,-23.9135599772135
21539,-23.5422526041666
21538,-24.4061543782552
21537,-25.6489267985026
21536,-26.6440185546875
21535,-31.4103149414062
21534,-29.4769907633463
21533,-33.5439259847005
21532,-26.7229675292969
21531,-32.7009236653646
21530,-29.3102783203125
21529,-26.2937632242838
21528,-34.1005564371745
21527,-35.8339955647786
21526,-28.6595774332682
21525,-28.8214884440104
21524,-26.0375325520833
21523,-28.0983744303385
21522,-33.8880116780599
21521,-26.7538106282552
21520,-29.0750895182291
21519,-34.3930267333984
21518,-33.5016184488932
21517,-24.7700612386067
21516,-37.4927276611328
21515,-27.9769653320312
21514,-29.7947194417317
21513,-30.2604329427083
21512,-38.3995524088541
21511,-32.6380828857422
21510,-33.8478251139323
21509,-27.0769205729166
21508,-29.4714772542317
21507,-29.3574991861979
21506,-27.6973073323567
21505,-29.7992614746094
21504,-26.8350992838541
21503,-29.8296061197916
21502,-30.0935780843099
21501,-29.7450012207031
21500,-37.2604278564453
21499,-26.1855631510416
21498,-24.5309051513672
21497,-28.1480316162109
21496,-26.5761322021484
21495,-28.6708740234375
21494,-33.8660390218099
21493,-29.4954233805338
21492,-29.6685190836588
21491,-32.3674123128255
21490,-26.3310557047526
21489,-26.4755106608073
21488,-30.1424672444661
21487,-28.2710072835286
21486,-20.9012512207031
21485,-31.8959615071614
21484,-27.6576293945312
21483,-27.5859792073567
21482,-29.5867930094401
21481,-30.3749857584635
21480,-39.4931905110677
21479,-29.202744547526
21478,-30.457612101237
21477,-30.1491455078125
21476,-32.2199412027995
21475,-23.0522928873698
21474,-31.9552673339844
21473,-30.4387980143229
21472,-29.9777994791666
21471,-26.0800537109375
21470,-31.0522420247396
21469,-25.3574890136719
21468,-31.2506825764974
21467,-27.2316752115885
21466,-29.1143147786458
21465,-25.2424479166666
21464,-23.6511698404948
21463,-26.9477752685547
21462,-31.6625579833984
21461,-29.1836456298828
21460,-33.2644816080729
21459,-27.1703196207682
21458,-31.5630147298177
21457,-25.9931752522786
21456,-29.2299967447916
21455,-27.640229288737
21454,-25.2762461344401
21453,-33.5263071695963
21452,-26.6164052327474
21451,-32.3735107421875
21450,-32.7705647786458
21449,-28.5496378580729
21448,-27.8987640380859
21447,-22.8282073974609
21446,-27.4359751383463
21445,-29.0419118245442
21444,-28.9205790201823
21443,-36.7417460123698
21442,-29.4961201985677
21441,-29.1970428466797
21440,-29.6346801757812
21439,-29.2159434000651
21438,-31.2877309163411
21437,-26.5086883544922
21436,-31.1129821777344
21435,-32.8837341308594
21434,-30.5101786295573
21433,-32.9404459635416
21432,-23.9649058024088
21431,-32.7541158040364
21430,-31.6081146240234
21429,-29.275986735026
21428,-30.5222839355469
21427,-25.5572113037109
21426,-29.0790974934896
21425,-28.7751271565755
21424,-36.0922149658203
21423,-27.9073903401692
21422,-32.0999104817708
21421,-29.8010365804036
21420,-30.4150044759114
21419,-31.4572713216146
21418,-27.7980000813802
21417,-26.4565694173177
