"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
16683,-36.0237996419271
16682,-34.1698771158854
16681,-37.2691533406575
16680,-35.3625752766927
16679,-34.8699325561523
16678,-35.3955393473307
16677,-36.5533940633138
16676,-37.5797663370768
16675,-38.259369913737
16674,-37.0748631795247
16673,-38.7721135457357
16672,-37.805392964681
16671,-36.4076192220052
16670,-38.0075032552083
16669,-35.1837931315104
16668,-36.5488367716471
16667,-36.3536437988281
16666,-34.621799214681
16665,-34.8959182739258
16664,-36.2708623250325
16663,-36.0675033569336
16662,-35.7331171671549
16661,-37.2294728597005
16660,-37.2454132080078
16659,-40.1548344930013
16658,-38.8939346313476
16657,-36.9476201375325
16656,-37.202256266276
16655,-35.6979558308919
16654,-36.0158981323242
16653,-36.7026936848958
16652,-39.2415095011393
16651,-38.0427688598633
16650,-38.0241277058919
16649,-38.950287882487
16648,-35.004741414388
16647,-39.0174545288086
16646,-35.852033996582
16645,-37.4375722249349
16644,-37.6009073893229
16643,-37.8978841145833
16642,-37.1755864461263
16641,-37.569802347819
16640,-37.7808161417643
16639,-39.7424860636393
16638,-37.4115356445312
16637,-35.3484227498372
16636,-38.7820266723633
16635,-36.6232411702474
16634,-33.5405817667643
16633,-37.7892618815104
16632,-36.8532928466797
16631,-34.8168701171875
16630,-37.2149210611979
16629,-38.7181279500325
16628,-38.2439915974935
16627,-32.562114461263
16626,-35.0738611857096
16625,-34.7545049031575
16624,-37.0098251342773
16623,-34.5798756917318
16622,-35.3607925415039
16621,-38.3830373128255
16620,-36.832009379069
16619,-36.7033727010091
16618,-36.0986312866211
16617,-34.4725860595703
16616,-36.6400461832682
16615,-38.2964385986328
16614,-38.8429448445638
16613,-35.517192586263
16612,-35.3457728068034
16611,-35.5304651896159
16610,-36.1535552978515
16609,-34.9621083577474
16608,-36.5198755900065
16607,-37.6412312825521
16606,-37.6566782633463
16605,-37.5179555257161
16604,-36.5213302612304
16603,-38.109124247233
16602,-36.0898549397786
16601,-37.9784022013346
16600,-36.4641759236653
16599,-38.0423238118489
16598,-36.7526611328125
16597,-38.1269541422526
16596,-38.4782038370768
16595,-34.3440943400065
16594,-36.772314453125
16593,-37.6751185099284
16592,-36.2806788126627
16591,-35.604350789388
16590,-34.0319249471028
16589,-38.0729990641276
16588,-34.492648824056
16587,-36.3863739013672
16586,-35.5471710205078
16585,-38.9027109781901
16584,-38.1582753499349
16583,-35.0241785685221
16582,-39.3234542846679
16581,-35.8069010416666
16580,-34.0340001424153
16579,-36.6073313395182
16578,-33.4180028279622
16577,-37.5837895711263
16576,-37.2242314656575
16575,-36.7695348103841
16574,-33.7407516479492
16573,-37.6352193196614
16572,-36.5923573811849
16571,-38.0454010009765
16570,-34.688454691569
16569,-35.4783894856771
16568,-35.129866027832
16567,-37.6801386515299
16566,-33.6700907389323
16565,-35.1602055867513
16564,-37.6882868448893
16563,-41.0380081176758
16562,-37.0505889892578
16561,-36.7699162801107
16560,-38.3040196736653
16559,-37.1568562825521
16558,-37.2264414469401
16557,-35.4891342163086
16556,-33.8236272176107
16555,-37.8037017822265
16554,-37.8093983968099
16553,-36.4926361083984
16552,-37.1984949747721
16551,-34.2625793457031
16550,-38.1295430501302
16549,-35.6532958984375
16548,-37.6194264729818
16547,-35.2018951416015
16546,-34.0642456054687
16545,-35.7544286092122
16544,-37.1620595296224
16543,-34.3941762288411
16542,-37.3025472005208
16541,-37.7597361246745
16540,-37.0486511230469
16539,-35.3826838175455
16538,-33.151584370931
16537,-34.7928654988607
16536,-36.839089457194
16535,-38.3158757527669
