"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21779,-23.6834294637044
21778,-20.7659566243489
21777,-20.435649617513
21776,-22.3256871541341
21775,-20.8309717814127
21774,-22.1430750528971
21773,-23.6446111043294
21772,-21.5783370971679
21771,-21.1876180013021
21770,-19.5783930460612
21769,-20.0973393758138
21768,-22.4223337809245
21767,-22.5290181477864
21766,-21.2073603312174
21765,-20.7630676269531
21764,-20.5600112915039
21763,-21.1611567179362
21762,-21.9694427490234
21761,-19.4398941040039
21760,-21.4302302042643
21759,-19.791721089681
21758,-21.5925379435221
21757,-20.3534632364909
21756,-20.5854934692383
21755,-18.9550918579101
21754,-20.4515416463216
21753,-21.4385716756185
21752,-21.2123346964518
21751,-20.0541010538737
21750,-20.3104436238607
21749,-19.1249654134114
21748,-19.8568405151367
21747,-21.1494074503581
21746,-23.6026952107747
21745,-23.4594940185547
21744,-20.8158579508463
21743,-20.2026351928711
21742,-20.5341908772786
21741,-21.4967788696289
21740,-21.2188883463541
21739,-21.5298726399739
21738,-21.5428807576497
21737,-19.7036982218424
21736,-20.9075581868489
21735,-20.875964864095
21734,-21.411723836263
21733,-22.3652684529622
21732,-23.3783630371094
21731,-19.6589594523112
21730,-19.4544738769531
21729,-20.5700820922851
21728,-21.1294591267903
21727,-21.1604141235351
21726,-23.4072758992513
21725,-23.7452351888021
21724,-22.3664866129557
21723,-23.0152750651041
21722,-18.7583602905273
21721,-20.3030787150065
21720,-25.4139134724935
21719,-21.629253133138
21718,-19.3167709350586
21717,-19.1927754720052
21716,-21.6469177246094
21715,-20.0827545166015
21714,-23.6655665079752
21713,-18.9778834025065
21712,-21.9040944417317
21711,-21.1277654012044
21710,-21.8371287027995
21709,-21.5908950805664
21708,-23.6834396362304
21707,-20.5482315063476
21706,-23.698833211263
21705,-22.0096776326497
21704,-19.7756459554036
21703,-22.7064371744791
21702,-21.9005442301432
21701,-19.2174184163411
21700,-18.9697174072265
21699,-19.4109583536784
21698,-21.4189870198567
21697,-20.2579762776692
21696,-21.4128173828125
21695,-22.3317245483398
21694,-19.7776245117187
21693,-20.257666015625
21692,-20.5728541056315
21691,-21.2302485148112
21690,-20.692116800944
21689,-19.7969065348307
21688,-20.3679896036784
21687,-19.795273844401
21686,-20.3345347086588
21685,-22.6578938802083
21684,-21.6159881591797
21683,-18.6719370524088
21682,-20.6917327880859
21681,-24.0216812133789
21680,-23.9387013753255
21679,-22.7371022542317
21678,-19.3407653808594
21677,-24.1942784627278
21676,-21.2935953776041
21675,-19.2999455769857
21674,-21.4465571085612
21673,-21.0017888387044
21672,-21.5593399047851
21671,-19.3323755900065
21670,-20.7438822428385
21669,-21.7244883219401
21668,-20.7199971516927
21667,-22.7420054117838
21666,-23.8650090535482
21665,-21.7760503133138
21664,-18.9535812377929
21663,-20.1760772705078
21662,-20.3480590820312
21661,-19.0808039347331
21660,-20.5315002441406
21659,-19.5330642700195
21658,-21.6569783528646
21657,-22.5382751464844
21656,-19.425639851888
21655,-21.1470423380534
21654,-22.9516001383463
21653,-24.132416788737
21652,-21.4978597005208
21651,-18.559418741862
21650,-22.2060073852539
21649,-19.6388153076172
21648,-20.1814839680989
21647,-19.4434951782226
21646,-18.8500401814778
21645,-19.2971761067708
21644,-20.2805745442708
21643,-24.3895884195963
21642,-21.3947382609049
21641,-20.9717086791992
21640,-21.9486475626627
21639,-23.479470316569
21638,-22.366199239095
21637,-21.4392939249674
21636,-21.1023493448893
21635,-25.3188817342122
21634,-20.7021494547526
21633,-21.805288696289
21632,-23.0687266031901
21631,-20.9955479939778
21630,-19.5537475585937
21629,-19.0931381225586
21628,-24.2103968302409
21627,-19.3415791829427
21626,-22.763530476888
21625,-18.2517786661784
21624,-23.2102188110351
21623,-21.2014450073242
21622,-22.5531270345052
21621,-21.8543914794922
21620,-21.4902201334635
21619,-21.7391825358073
21618,-18.4491027832031
21617,-19.4203577677409
21616,-20.0251068115234
21615,-20.7176651000976
21614,-23.0019210815429
21613,-24.5372426350911
21612,-21.4760498046875
21611,-22.4068969726562
21610,-22.6783381144206
21609,-20.5313501993815
21608,-20.6594807942708
21607,-19.0724446614583
21606,-22.2025690714518
21605,-21.1564112345377
21604,-21.6605361938476
21603,-20.3723358154297
21602,-21.756564839681
21601,-22.6822392781575
21600,-19.4235010782877
21599,-20.664533996582
21598,-22.4274251302083
21597,-22.5579767862956
21596,-22.3325688680013
21595,-23.013171895345
21594,-17.9531489054362
21593,-19.8871877034505
21592,-21.5970138549804
21591,-20.6498728434245
21590,-22.2788655598958
21589,-22.1735163370768
21588,-24.0112823486328
21587,-20.1645797729492
21586,-21.0259841918945
21585,-18.7718999226888
21584,-21.1610473632812
21583,-21.0962178548177
21582,-22.3354426066081
21581,-19.9395736694336
21580,-20.6349548339844
21579,-21.1445424397786
21578,-20.5702651977539
21577,-23.4153528849284
21576,-21.3936345418294
21575,-20.5656646728515
21574,-21.5540730794271
21573,-19.7925984700521
21572,-19.9327275594075
21571,-21.5383234659831
21570,-22.0531880696614
21569,-20.682709757487
21568,-19.9966339111328
21567,-20.8872258504232
21566,-20.5698939005534
21565,-20.372536722819
21564,-17.4861892700195
21563,-19.0034952799479
21562,-23.1022247314453
21561,-23.3730987548828
21560,-20.848481241862
21559,-23.0204732259114
21558,-17.7355509440104
21557,-20.0107177734375
21556,-19.493256632487
21555,-21.6946497599284
21554,-22.568337504069
21553,-20.7172505696614
21552,-21.3999160766601
21551,-18.8720001220703
21550,-22.624988301595
21549,-23.102891031901
21548,-20.6374572753906
21547,-19.7404413859049
21546,-22.3359334309896
21545,-22.9847422281901
21544,-20.9088678995768
21543,-18.7605829874674
21542,-22.0179275512695
21541,-20.6875798543294
21540,-21.3191335042317
21539,-23.1108027140299
21538,-24.7902969360351
21537,-21.2026326497396
21536,-20.1539952596028
21535,-21.0372350056966
21534,-21.2685150146484
21533,-19.5065877278646
21532,-22.6585652669271
21531,-23.174419148763
21530,-20.1541325887044
21529,-22.3887084960937
21528,-19.7339564005534
21527,-22.5247940063476
21526,-19.127175394694
21525,-22.7495966593424
21524,-20.6327931722005
21523,-18.3260864257812
21522,-19.0066106160482
21521,-20.5752649943034
21520,-19.2330891927083
21519,-20.6335917154948
21518,-20.8317957560221
21517,-19.1274907430013
21516,-20.4633443196614
21515,-20.8983723958333
21514,-24.0724675496419
21513,-20.0343460083008
21512,-19.9064493815104
21511,-20.8053751627604
21510,-19.6634404500325
21509,-19.0327056884765
21508,-20.1131042480469
21507,-19.4729522705078
21506,-22.2684844970703
21505,-20.8350407918294
21504,-21.0720301310221
21503,-22.4418065388997
21502,-19.5158269246419
21501,-20.1801666259765
21500,-22.3562123616536
21499,-21.3548873901367
21498,-21.3025319417317
21497,-20.2829981486002
21496,-19.8133377075195
21495,-18.2955764770508
21494,-19.8515279134114
21493,-19.5785202026367
21492,-21.0153284708659
21491,-20.5767476399739
21490,-18.8472579956054
21489,-19.0402994791666
21488,-21.692371114095
21487,-20.0689936319987
21486,-24.034407043457
21485,-21.1959696451823
21484,-20.2007202148437
21483,-21.0698888142903
21482,-20.5734491984049
21481,-20.7366444905599
21480,-20.6612431844075
21479,-21.7340021769206
21478,-19.6610117594401
21477,-21.8021174112956
21476,-18.3819132486979
21475,-19.7686726888021
21474,-22.3428456624349
21473,-22.0703313191732
21472,-19.9438461303711
21471,-21.3971618652344
21470,-22.0973800659179
21469,-19.4560480753581
21468,-19.800998433431
21467,-20.1963129679362
21466,-22.8554011027018
21465,-22.6050323486328
21464,-19.7816095987956
21463,-22.0497446695963
21462,-23.3581731160482
21461,-23.4185623168945
21460,-21.1374598185221
21459,-17.9183130900065
21458,-23.3029184977213
21457,-24.6047348022461
21456,-20.1908579508463
21455,-22.1926381429036
21454,-20.8657897949219
21453,-21.3629643758138
21452,-18.7194122314453
21451,-21.7271662394206
21450,-19.9933303833008
21449,-19.9305557250976
21448,-21.0303532918294
21447,-21.4544230143229
21446,-21.0276677449544
21445,-23.1072957356771
21444,-20.5051991780599
21443,-20.8648793538411
21442,-18.916975402832
21441,-22.6406616210937
21440,-23.3348729451497
21439,-23.8631474812825
21438,-21.5622009277344
21437,-22.5173400878906
21436,-20.7686192830403
21435,-24.0977945963541
21434,-21.0672821044922
21433,-16.9075022379557
21432,-20.3489568074544
21431,-19.8526163736979
21430,-20.3584681193034
21429,-20.8131291707357
21428,-23.6156041463216
21427,-20.0616566975911
21426,-20.4700887044271
21425,-21.089936319987
21424,-20.2122838338216
21423,-21.6110443115234
21422,-17.5408894856771
21421,-20.6482579549153
21420,-20.2277587890625
21419,-21.7609771728515
21418,-18.3037907918294
21417,-20.8106699625651
21416,-18.6060953776041
21415,-20.3108047485351
21414,-19.7809763590495
21413,-20.1267481486002
21412,-20.774387105306
21411,-18.1091166178385
21410,-23.703466796875
21409,-20.2293355305989
21408,-20.5646219889323
21407,-20.5325352986653
21406,-21.1888412475586
21405,-18.8840367635091
21404,-19.4081609090169
21403,-19.3854990641276
21402,-20.6538477579752
21401,-21.6857767740885
21400,-21.611799621582
21399,-22.1559712727864
21398,-18.4582326253255
21397,-20.2933461507161
21396,-21.7531646728515
21395,-21.8530919392903
21394,-22.0073888142903
21393,-18.9241622924804
21392,-20.8229125976562
21391,-21.0901117960612
21390,-23.5883163452148
21389,-19.7893025716146
21388,-21.3912745157877
21387,-21.2651580810547
21386,-21.8914423624674
21385,-20.1091293334961
21384,-19.3832509358724
21383,-20.6383880615234
21382,-20.0077067057291
21381,-19.3259516398112
21380,-18.9745010375976
21379,-21.8095687866211
21378,-20.8386672973633
21377,-22.2734842936198
21376,-21.9807774861653
21375,-19.547466023763
21374,-21.0811498006185
21373,-22.6005157470703
21372,-21.9607070922851
21371,-21.5285196940104
21370,-20.9181630452474
21369,-16.6862192789713
21368,-22.6966918945312
21367,-22.4296351114909
21366,-18.9445505777995
21365,-20.7165130615234
21364,-22.0314875284831
21363,-19.5783345540364
21362,-20.8195785522461
21361,-21.4074259440104
21360,-20.5449584960937
21359,-20.2529968261719
21358,-22.0779047648112
21357,-20.7694330851237
21356,-23.5775131225586
21355,-20.0295013427734
21354,-21.7389155069987
21353,-19.5395111083984
21352,-20.8704818725586
21351,-18.7381576538086
21350,-21.044037882487
21349,-20.2352457682291
21348,-20.1638829549153
21347,-22.5708577473958
21346,-21.0073557535807
21345,-19.3982579549153
21344,-20.9273971557617
21343,-22.5832936604817
21342,-20.4956954956054
21341,-19.6335103352864
21340,-21.4297648111979
21339,-21.296255493164
21338,-19.7681538899739
21337,-21.0553599039713
21336,-20.1829411824544
21335,-22.7128407796224
21334,-25.5799240112304
21333,-21.5403376261393
21332,-21.5093139648437
21331,-19.591177368164
21330,-21.4516764322916
21329,-19.5212259928385
21328,-22.3315516153971
21327,-21.8525934855143
21326,-19.3885381062825
21325,-19.2966852823893
21324,-19.7621266682942
21323,-21.9754470825195
21322,-20.3740447998047
21321,-20.0680628458659
21320,-22.7962478637695
21319,-17.1757136027018
21318,-17.9309626261393
21317,-19.2048502604166
21316,-19.2535003662109
21315,-20.4466130574544
21314,-20.4076268513997
21313,-21.1905578613281
21312,-21.6538401285807
21311,-21.3463755289713
21310,-20.4719223022461
21309,-22.0404851277669
21308,-21.3006245930989
21307,-20.6531560262044
21306,-19.7959121704101
21305,-21.716899617513
21304,-22.4164311726888
21303,-20.8048894246419
21302,-21.1295176188151
21301,-20.6996749877929
21300,-21.6029724121094
21299,-20.2280766805013
21298,-21.6070643107096
21297,-22.3145711263021
21296,-22.6987111409505
21295,-21.0683883666992
21294,-21.0087493896484
21293,-20.8219563802083
21292,-20.1796045939127
21291,-22.133652750651
21290,-19.8535675048828
21289,-21.837505086263
21288,-21.4544764200846
21287,-23.3243698120117
21286,-20.4652796427409
21285,-21.9671208699544
21284,-20.7879903157552
21283,-19.2992665608724
21282,-23.5153615315755
21281,-21.2544006347656
21280,-20.3240036010742
21279,-22.257426961263
21278,-20.7586629231771
21277,-22.2329162597656
21276,-18.6798385620117
21275,-19.7762944539388
21274,-22.5149419148763
21273,-18.9266189575195
21272,-18.8279251098633
21271,-18.2186798095703
21270,-22.3073816935221
21269,-20.8377975463867
21268,-22.0377563476562
21267,-22.0737772623698
21266,-21.4068715413411
21265,-21.1858327229817
21264,-20.4159734090169
21263,-18.5141611735026
21262,-19.9363388061523
21261,-19.4446370442708
21260,-21.8533335367838
21259,-22.9603993733724
21258,-23.0610260009765
21257,-21.1117792765299
21256,-21.5485163370768
21255,-17.196885172526
21254,-22.0366729736328
21253,-22.4513610839844
21252,-21.2796590169271
21251,-19.7764673868815
21250,-19.765125020345
21249,-21.6429428100586
21248,-20.9646311442057
21247,-23.4401891072591
21246,-19.3363810221354
21245,-19.4597788492838
21244,-20.6724965413411
21243,-22.0842244466146
21242,-21.9175628662109
21241,-21.7607737223307
21240,-22.2790206909179
21239,-21.3787877400716
21238,-17.8760513305664
21237,-20.2430023193359
21236,-21.3257125854492
21235,-21.7531138102213
21234,-19.8052098592122
21233,-21.4850728352864
21232,-23.0338475545247
21231,-22.1514190673828
21230,-22.1531255086263
21229,-21.3794362386067
21228,-21.36790822347
21227,-22.1971318562825
21226,-21.1152048746745
21225,-22.1063776652018
21224,-22.5862258911133
21223,-20.1034428914388
21222,-21.6459920247396
21221,-22.0078567504883
21220,-22.3167226155599
21219,-19.6393798828125
21218,-19.389985148112
21217,-20.8214833577474
21216,-20.3925155639648
21215,-22.3945297241211
21214,-22.0769027709961
21213,-19.6578379313151
21212,-21.6434565226237
21211,-17.9558446248372
21210,-21.9458374023437
21209,-18.9946528116862
21208,-24.5552734375
21207,-19.94052734375
21206,-19.9610733032226
21205,-21.9417887369791
21204,-18.6452061971028
21203,-19.3835611979166
21202,-20.4049667358398
21201,-23.3079717000325
21200,-23.8749425252278
21199,-19.9252024332682
21198,-22.7709665934245
21197,-24.1627766927083
21196,-20.7732808430989
21195,-23.3201965332031
21194,-20.4775629679362
21193,-22.3582494099935
21192,-22.5572774251302
21191,-22.4062764485677
21190,-21.0037139892578
21189,-19.3549789428711
21188,-18.2193206787109
21187,-18.8511210123698
21186,-21.5581344604492
21185,-19.1147699991862
21184,-21.1587153116862
21183,-22.646701558431
21182,-21.8759140014648
21181,-24.3963938395182
21180,-21.5452484130859
21179,-22.1717870076497
21178,-16.8146474202474
21177,-22.1072957356771
21176,-18.3763895670573
21175,-21.5075388590495
21174,-21.6410049438476
21173,-20.5718292236328
21172,-21.2706410725911
21171,-19.0167424519857
21170,-20.1120641072591
21169,-24.3240620930989
21168,-19.6620671590169
21167,-21.4991032918294
21166,-18.5272557576497
21165,-20.5873041788737
21164,-19.5233291625976
21163,-20.4552825927734
21162,-19.6401224772135
21161,-21.8165674845377
21160,-19.6754364013672
21159,-21.3995498657226
21158,-21.3135589599609
21157,-22.716525777181
21156,-19.2323109944661
21155,-20.8171320597331
21154,-21.4611114501953
21153,-20.6423833211263
21152,-19.9841217041015
21151,-20.0791610717773
21150,-19.0237182617187
21149,-20.0487960815429
21148,-22.1074076334635
21147,-20.3394505818685
21146,-24.2138656616211
21145,-24.7156941731771
21144,-20.6671127319336
21143,-20.0929880777995
21142,-22.1833073933919
21141,-20.8027913411458
21140,-21.2776117960612
21139,-21.4495351155599
21138,-20.6780481974284
21137,-21.6377471923828
21136,-21.559070332845
21135,-19.7019485473633
21134,-20.2622538248698
21133,-20.6595977783203
21132,-21.2770853678385
21131,-19.1932968139648
21130,-21.0369857788086
21129,-21.5669057210286
21128,-21.90990041097
21127,-21.3389953613281
21126,-19.7452860514323
21125,-23.0273396809896
21124,-18.0722208658854
21123,-19.4624643961588
21122,-22.1893346150716
21121,-21.4065612792969
21120,-22.3205220540364
21119,-21.3194463094075
