"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
13158,-38.1083536783854
13157,-39.025981648763
13156,-29.0513264973958
13155,-31.5061757405599
13154,-33.9361582438151
13153,-30.9446014404297
13152,-31.2173370361328
13151,-31.2987782796224
13150,-30.8377187093099
13149,-31.0360168457031
13148,-33.1934824625651
13147,-37.1237497965495
13146,-35.2711751302083
13145,-37.5149698893229
13144,-31.4569051106771
13143,-35.5804656982422
13142,-38.6939147949219
13141,-32.9939178466797
13140,-29.0062672932942
13139,-33.3092102050781
13138,-30.6665150960286
13137,-27.9446421305338
13136,-32.2509928385416
13135,-27.6614440917969
13134,-35.6374827067057
13133,-28.8571482340495
13132,-38.7830973307291
13131,-39.9084075927734
13130,-33.1286936442057
13129,-42.2670298258463
13128,-32.3389241536458
13127,-38.2611246744791
13126,-31.5726888020833
13125,-31.1280069986979
13124,-32.2695882161458
13123,-29.0868286132812
13122,-30.9814361572265
13121,-32.6025705973307
13120,-33.4353495279948
13119,-31.241547648112
13118,-31.2141937255859
13117,-29.3395345052083
13116,-29.1931365966797
13115,-31.4680694580078
13114,-40.1577260335286
13113,-40.6848815917969
13112,-31.1560373942057
13111,-37.7509165445963
13110,-37.1257690429687
13109,-39.3300587972005
13108,-37.171250406901
13107,-32.4176289876302
13106,-35.2917083740234
13105,-38.1779490152995
13104,-31.2367614746094
13103,-33.7935394287109
13102,-32.2297831217448
13101,-27.3769287109375
13100,-26.1492116292317
13099,-25.9413564046224
13098,-36.2851470947265
13097,-28.896576944987
13096,-42.652192179362
13095,-42.3207763671875
13094,-33.078716023763
13093,-38.6616322835286
13092,-34.1612508138021
13091,-33.3834289550781
13090,-38.5678263346354
13089,-37.5725209554036
13088,-37.276459757487
13087,-39.1700500488281
13086,-34.7058776855469
13085,-37.1932383219401
13084,-42.3425811767578
13083,-27.6700093587239
13082,-33.8860076904297
13081,-30.5199747721354
13080,-31.0415049235026
13079,-28.5680806477864
13078,-27.6661997477213
13077,-34.8310404459635
13076,-31.0705678304036
13075,-35.1920532226562
13074,-28.6639821370442
13073,-35.4836791992187
13072,-34.2896179199219
13071,-30.327500406901
13070,-31.2911895751953
13069,-32.3417826334635
13068,-37.1722930908203
13067,-37.4125834147135
13066,-36.6245178222656
13065,-39.1546081542969
13064,-33.1344563802083
