measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 415,15113,15119,15018,15084,15145,15238,clam T4 S6,Yes
EN18218 416,15165,15170,15069,15135,15197,15290,clam T4 S6,Yes
EN18218 417,15217,15222,15120,15187,15249,15342,clam T4 S6,Yes
EN18218 418,15269,15274,15172,15239,15301,15394,clam T4 S6,Yes
EN18218 419,15321,15326,15224,15291,15353,15446,clam T4 S6,Yes
EN18218 420,15374,15379,15276,15344,15406,15499,clam T4 S6,Yes
EN18218 421,15427,15431,15327,15396,15458,15552,clam T4 S6,Yes
EN18218 422,15480,15484,15379,15449,15511,15604,clam T4 S6,Yes
EN18218 423,15533,15537,15431,15502,15564,15657,clam T4 S6,Yes
EN18218 424,15586,15590,15484,15555,15617,15711,clam T4 S6,Yes
EN18218 425,15639,15643,15536,15608,15670,15764,clam T4 S6,Yes
EN18218 426,15692,15696,15589,15662,15724,15817,clam T4 S6,Yes
EN18218 427,15746,15750,15642,15715,15778,15871,clam T4 S6,Yes
EN18218 428,15800,15803,15695,15769,15831,15925,clam T4 S6,Yes
EN18218 429,15854,15857,15748,15823,15885,15979,clam T4 S6,Yes
EN18218 430,15908,15911,15802,15877,15940,16033,clam T4 S6,Yes
EN18218 431,15962,15965,15856,15931,15994,16087,clam T4 S6,Yes
EN18218 432,16016,16020,15910,15985,16048,16141,clam T4 S6,Yes
EN18218 433,16071,16074,15964,16040,16103,16196,clam T4 S6,Yes
EN18218 434,16126,16129,16018,16094,16158,16250,clam T4 S6,Yes
EN18218 435,16181,16183,16073,16149,16213,16305,clam T4 S6,Yes
EN18218 436,16236,16238,16127,16204,16268,16360,clam T4 S6,Yes
EN18218 437,16291,16293,16182,16259,16323,16416,clam T4 S6,Yes
EN18218 438,16347,16349,16237,16315,16379,16471,clam T4 S6,Yes
EN18218 439,16402,16404,16291,16370,16434,16527,clam T4 S6,Yes
EN18218 440,16458,16460,16347,16426,16490,16583,clam T4 S6,Yes
EN18218 441,16514,16515,16402,16481,16546,16639,clam T4 S6,Yes
EN18218 442,16570,16571,16457,16537,16602,16694,clam T4 S6,Yes
EN18218 443,16627,16627,16512,16593,16658,16750,clam T4 S6,Yes
EN18218 444,16683,16683,16567,16649,16715,16806,clam T4 S6,Yes
EN18218 445,16740,16740,16623,16706,16772,16862,clam T4 S6,Yes
EN18218 446,16797,16796,16678,16762,16829,16919,clam T4 S6,Yes
EN18218 447,16854,16853,16734,16818,16886,16975,clam T4 S6,Yes
EN18218 448,16912,16909,16789,16875,16943,17032,clam T4 S6,Yes
EN18218 449,16969,16966,16845,16932,17000,17090,clam T4 S6,Yes
EN18218 450,17027,17023,16901,16990,17058,17147,clam T4 S6,Yes
EN18218 451,17084,17080,16956,17047,17116,17203,clam T4 S6,Yes
EN18218 452,17143,17137,17012,17105,17173,17260,clam T4 S6,Yes
EN18218 453,17201,17195,17068,17162,17231,17317,clam T4 S6,Yes
EN18218 454,17259,17252,17124,17220,17289,17374,clam T4 S6,Yes
EN18218 455,17317,17309,17179,17278,17347,17431,clam T4 S6,Yes
EN18218 456,17376,17367,17235,17335,17406,17488,clam T4 S6,Yes
EN18218 457,17434,17425,17291,17393,17464,17545,clam T4 S6,Yes
EN18218 458,17493,17482,17348,17450,17523,17602,clam T4 S6,Yes
EN18218 459,17552,17540,17403,17508,17582,17659,clam T4 S6,Yes
EN18218 460,17611,17598,17461,17565,17641,17716,clam T4 S6,Yes
EN18218 461,17670,17656,17517,17622,17700,17774,clam T4 S6,Yes
EN18218 462,17729,17714,17574,17680,17759,17831,clam T4 S6,Yes
EN18218 463,17788,17772,17631,17737,17818,17889,clam T4 S6,Yes
EN18218 464,17847,17830,17687,17794,17877,17947,clam T4 S6,Yes
EN18218 465,17906,17888,17743,17851,17937,18004,clam T4 S6,Yes
EN18218 466,17965,17946,17798,17909,17996,18063,clam T4 S6,Yes
EN18218 467,18024,18005,17854,17967,18056,18121,clam T4 S6,Yes
EN18218 468,18083,18063,17910,18024,18115,18180,clam T4 S6,Yes
EN18218 469,18142,18121,17965,18082,18174,18240,clam T4 S6,Yes
EN18218 470,18200,18179,18019,18139,18233,18299,clam T4 S6,Yes
EN18218 471,18258,18238,18075,18198,18292,18361,clam T4 S6,Yes
EN18218 472,18316,18296,18129,18256,18351,18422,clam T4 S6,Yes
EN18218 473,18374,18354,18184,18314,18410,18485,clam T4 S6,Yes
EN18218 474,18431,18413,18238,18372,18468,18548,clam T4 S6,Yes
EN18218 475,18489,18471,18293,18431,18526,18613,clam T4 S6,Yes
EN18218 476,18546,18529,18346,18489,18585,18677,clam T4 S6,Yes
EN18218 477,18604,18588,18400,18547,18643,18743,clam T4 S6,Yes
EN18218 478,18661,18646,18453,18605,18701,18808,clam T4 S6,Yes
EN18218 479,18719,18704,18506,18662,18759,18874,clam T4 S6,Yes
EN18218 480,18776,18763,18560,18719,18817,18941,clam T4 S6,Yes
EN18218 481,18833,18821,18614,18777,18875,19008,clam T4 S6,Yes
EN18218 482,18890,18879,18665,18833,18932,19076,clam T4 S6,Yes
EN18218 483,18946,18937,18717,18890,18989,19145,clam T4 S6,Yes
EN18218 484,19003,18995,18769,18946,19047,19212,clam T4 S6,Yes
EN18218 485,19059,19053,18821,19002,19104,19282,clam T4 S6,Yes
EN18218 486,19115,19111,18873,19059,19162,19351,clam T4 S6,Yes
EN18218 487,19170,19169,18924,19115,19220,19419,clam T4 S6,Yes
EN18218 488,19225,19227,18975,19171,19277,19490,clam T4 S6,Yes
EN18218 489,19281,19285,19027,19226,19334,19560,clam T4 S6,Yes
EN18218 490,19335,19343,19079,19282,19392,19630,clam T4 S6,Yes
EN18218 491,19390,19400,19131,19337,19449,19701,clam T4 S6,Yes
EN18218 492,19444,19458,19182,19392,19506,19772,clam T4 S6,Yes
EN18218 493,19498,19516,19233,19446,19564,19843,clam T4 S6,Yes
EN18218 494,19552,19573,19285,19500,19621,19916,clam T4 S6,Yes
EN18218 495,19606,19630,19338,19555,19678,19988,clam T4 S6,Yes
EN18218 496,19659,19688,19389,19608,19735,20061,clam T4 S6,Yes
EN18218 497,19713,19745,19441,19661,19792,20135,clam T4 S6,Yes
EN18218 498,19766,19802,19493,19714,19849,20208,clam T4 S6,Yes
EN18218 499,19818,19859,19546,19766,19906,20282,clam T4 S6,Yes
EN18218 500,19870,19916,19598,19819,19963,20356,clam T4 S6,Yes
EN18218 501,19922,19973,19649,19871,20021,20430,clam T4 S6,Yes
EN18218 502,19974,20029,19701,19922,20077,20504,clam T4 S6,Yes
EN18218 503,20026,20086,19753,19973,20134,20580,clam T4 S6,Yes
EN18218 504,20078,20142,19806,20024,20191,20654,clam T4 S6,Yes
EN18218 505,20131,20199,19858,20074,20248,20728,clam T4 S6,Yes
EN18218 506,20182,20255,19910,20125,20304,20802,clam T4 S6,Yes
EN18218 507,20233,20311,19961,20175,20360,20876,clam T4 S6,Yes
EN18218 508,20285,20367,20014,20225,20417,20950,clam T4 S6,Yes
EN18218 509,20337,20423,20066,20275,20473,21026,clam T4 S6,Yes
EN18218 510,20389,20480,20119,20325,20530,21102,clam T4 S6,Yes
EN18218 511,20442,20536,20174,20376,20589,21177,clam T4 S6,Yes
EN18218 512,20494,20593,20227,20427,20646,21253,clam T4 S6,Yes
EN18218 513,20547,20650,20280,20477,20703,21328,clam T4 S6,Yes
EN18218 514,20600,20707,20332,20528,20761,21404,clam T4 S6,Yes
EN18218 515,20654,20764,20386,20579,20819,21480,clam T4 S6,Yes
EN18218 516,20708,20822,20442,20632,20878,21557,clam T4 S6,Yes
EN18218 517,20763,20880,20496,20684,20937,21633,clam T4 S6,Yes
EN18218 518,20818,20939,20549,20737,20996,21710,clam T4 S6,Yes
EN18218 519,20874,20998,20601,20791,21056,21786,clam T4 S6,Yes
EN18218 520,20931,21058,20654,20845,21116,21861,clam T4 S6,Yes
EN18218 521,20988,21118,20706,20900,21178,21936,clam T4 S6,Yes
EN18218 522,21047,21178,20759,20956,21239,22013,clam T4 S6,Yes
EN18218 523,21104,21240,20812,21013,21301,22090,clam T4 S6,Yes
EN18218 524,21164,21302,20866,21071,21364,22167,clam T4 S6,Yes
EN18218 525,21224,21365,20920,21130,21428,22242,clam T4 S6,Yes
EN18218 526,21286,21428,20974,21190,21493,22318,clam T4 S6,Yes
EN18218 527,21348,21493,21032,21252,21559,22395,clam T4 S6,Yes
EN18218 528,21412,21558,21086,21314,21626,22473,clam T4 S6,Yes
EN18218 529,21476,21624,21143,21377,21693,22550,clam T4 S6,Yes
EN18218 530,21543,21691,21203,21442,21762,22628,clam T4 S6,Yes
EN18218 531,21610,21759,21262,21508,21830,22705,clam T4 S6,Yes
EN18218 532,21679,21828,21322,21575,21901,22782,clam T4 S6,Yes
EN18218 533,21750,21898,21384,21644,21972,22858,clam T4 S6,Yes
EN18218 534,21822,21969,21448,21715,22045,22933,clam T4 S6,Yes
EN18218 535,21896,22041,21510,21787,22118,23010,clam T4 S6,Yes
EN18218 536,21971,22115,21574,21860,22193,23087,clam T4 S6,Yes
EN18218 537,22048,22190,21638,21936,22271,23166,clam T4 S6,Yes
EN18218 538,22126,22266,21702,22012,22347,23245,clam T4 S6,Yes
EN18218 539,22205,22343,21769,22090,22424,23323,clam T4 S6,Yes
EN18218 540,22287,22421,21835,22170,22505,23400,clam T4 S6,Yes
EN18218 541,22369,22500,21902,22250,22585,23479,clam T4 S6,Yes
EN18218 542,22452,22579,21969,22332,22666,23557,clam T4 S6,Yes
EN18218 543,22538,22660,22038,22416,22748,23634,clam T4 S6,Yes
EN18218 544,22623,22742,22108,22500,22830,23712,clam T4 S6,Yes
EN18218 545,22711,22824,22179,22585,22914,23788,clam T4 S6,Yes
EN18218 546,22800,22906,22252,22671,22998,23863,clam T4 S6,Yes
EN18218 547,22888,22989,22323,22757,23082,23941,clam T4 S6,Yes
EN18218 548,22978,23073,22393,22844,23168,24016,clam T4 S6,Yes
EN18218 549,23068,23157,22463,22932,23255,24091,clam T4 S6,Yes
EN18218 550,23157,23241,22536,23019,23341,24166,clam T4 S6,Yes
EN18218 551,23248,23325,22610,23107,23428,24240,clam T4 S6,Yes
EN18218 552,23338,23410,22683,23195,23516,24314,clam T4 S6,Yes
EN18218 553,23428,23494,22753,23284,23603,24391,clam T4 S6,Yes
EN18218 554,23519,23578,22822,23373,23690,24466,clam T4 S6,Yes
EN18218 555,23608,23663,22897,23462,23777,24539,clam T4 S6,Yes
EN18218 556,23699,23747,22974,23550,23864,24610,clam T4 S6,Yes
EN18218 557,23788,23831,23047,23638,23953,24681,clam T4 S6,Yes
EN18218 558,23877,23914,23124,23725,24040,24751,clam T4 S6,Yes
EN18218 559,23966,23998,23201,23813,24126,24820,clam T4 S6,Yes
EN18218 560,24054,24080,23272,23899,24213,24890,clam T4 S6,Yes
EN18218 561,24140,24162,23348,23985,24299,24959,clam T4 S6,Yes
EN18218 562,24226,24244,23424,24070,24385,25030,clam T4 S6,Yes
EN18218 563,24311,24324,23498,24154,24468,25096,clam T4 S6,Yes
EN18218 564,24395,24404,23574,24237,24551,25162,clam T4 S6,Yes
EN18218 565,24478,24483,23651,24320,24632,25227,clam T4 S6,Yes
EN18218 566,24559,24561,23729,24401,24712,25289,clam T4 S6,Yes
EN18218 567,24640,24638,23801,24482,24792,25353,clam T4 S6,Yes
EN18218 568,24719,24715,23877,24561,24869,25416,clam T4 S6,Yes
EN18218 569,24797,24790,23953,24640,24946,25478,clam T4 S6,Yes
EN18218 570,24874,24864,24027,24717,25022,25540,clam T4 S6,Yes
EN18218 571,24949,24938,24100,24793,25097,25601,clam T4 S6,Yes
EN18218 572,25024,25010,24174,24868,25172,25660,clam T4 S6,Yes
EN18218 573,25097,25082,24248,24944,25244,25719,clam T4 S6,Yes
EN18218 574,25170,25153,24324,25018,25314,25782,clam T4 S6,Yes
EN18218 575,25241,25223,24397,25091,25385,25840,clam T4 S6,Yes
EN18218 576,25310,25293,24471,25163,25454,25903,clam T4 S6,Yes
EN18218 577,25381,25361,24547,25234,25523,25964,clam T4 S6,Yes
EN18218 578,25448,25430,24623,25304,25590,26022,clam T4 S6,Yes
EN18218 579,25515,25497,24696,25374,25657,26085,clam T4 S6,Yes
EN18218 580,25583,25564,24771,25444,25723,26140,clam T4 S6,Yes
EN18218 581,25650,25631,24845,25512,25788,26202,clam T4 S6,Yes
EN18218 582,25715,25696,24919,25580,25854,26263,clam T4 S6,Yes
EN18218 583,25780,25762,24995,25647,25919,26325,clam T4 S6,Yes
EN18218 584,25845,25827,25070,25713,25981,26385,clam T4 S6,Yes
EN18218 585,25909,25891,25142,25780,26044,26445,clam T4 S6,Yes
EN18218 586,25972,25955,25217,25846,26106,26504,clam T4 S6,Yes
EN18218 587,26036,26019,25293,25911,26168,26563,clam T4 S6,Yes
