"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
6306,-28.5469624837239
6305,-22.6117462158203
6304,-28.3273935953776
6303,-29.8615020751953
6302,-28.9843098958333
6301,-33.7341929117838
6300,-25.7851165771484
6299,-28.4955607096354
6298,-28.6478892008463
6297,-26.9462239583333
6296,-30.9595397949219
6295,-30.0873931884765
6294,-27.1280527750651
6293,-29.3047241210937
6292,-27.9763397216797
6291,-25.9450541178385
6290,-28.7917744954427
6289,-30.5486155192057
6288,-30.2092091878255
6287,-26.0107991536458
6286,-25.8707794189453
6285,-30.6693990071614
6284,-29.4601908365885
6283,-32.5916046142578
6282,-31.6109171549479
6281,-35.2248240152995
6280,-33.0344757080078
6279,-28.6100423177083
6278,-15.1850748697916
6277,-27.6464192708333
6276,-28.0014251708984
6275,-24.9048421223958
6274,-22.0189575195312
6273,-30.4532887776692
6272,-27.6264099121094
6271,-35.2502553304036
6270,-29.2643086751302
6269,-27.8217987060547
6268,-21.0026255289713
6267,-27.6642873128255
6266,-28.2120778401692
6265,-26.4528666178385
6264,-28.1562357584635
6263,-29.8413859049479
6262,-30.2223419189453
6261,-31.366547648112
6260,-33.8965565999349
6259,-30.2448791503906
6258,-30.0334228515625
6257,-29.7487243652344
6256,-28.404653930664
6255,-31.5739247639974
6254,-29.4402526855469
6253,-33.1671712239583
6252,-25.7068288167317
6251,-26.1192128499349
6250,-23.0282450358073
6249,-24.6315063476562
6248,-27.0513010660807
6247,-23.0249898274739
6246,-27.4249430338541
6245,-31.6357381184896
6244,-27.1314453125
6243,-27.4168914794922
6242,-34.3773305257161
6241,-28.9683797200521
6240,-28.7969014485677
6239,-30.5666158040364
6238,-27.5503651936849
6237,-30.590928141276
6236,-27.4015920003255
6235,-33.4360107421875
6234,-32.1092793782552
6233,-16.9980885823567
6232,-26.3344838460286
6231,-33.7062184651693
6230,-31.5009216308594
6229,-30.9758819580078
6228,-31.8217020670573
6227,-31.9149536132812
6226,-35.9807851155599
6225,-34.7158162434896
6224,-31.1982889811198
6223,-30.3209594726562
6222,-28.9453440348307
6221,-34.4090586344401
6220,-26.8481353759765
6219,-27.9121663411458
6218,-36.0004587809245
6217,-33.7889567057291
6216,-32.5584116617838
6215,-35.0275736490885
6214,-24.5282145182291
6213,-24.6095489501953
6212,-21.9053202311198
6211,-30.0173909505208
6210,-28.4544687906901
