"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21636,-24.1296066284179
21635,-23.1545369466146
21634,-22.995334370931
21633,-24.1408777872721
21632,-22.8865468343099
21631,-23.4233205159505
21630,-23.7624928792317
21629,-24.6589975992838
21628,-22.436994934082
21627,-23.1929255167643
21626,-23.5972732543945
21625,-23.1133433024088
21624,-23.2361689249674
21623,-23.4687611897786
21622,-25.0909484863281
21621,-22.8441655476888
21620,-23.5445007324219
21619,-22.8916330973307
21618,-23.1395858764648
21617,-22.5746877034505
21616,-23.0932703653971
21615,-23.3122009277344
21614,-23.2032709757487
21613,-24.1027155558268
21612,-22.6455520629883
21611,-22.8506225585937
21610,-21.8643351236979
21609,-22.3794133504232
21608,-21.8204584757487
21607,-23.8790802001953
21606,-23.8407857259114
21605,-23.6058766682942
21604,-21.7384958902995
21603,-23.5155802408854
21602,-24.741562906901
21601,-23.3816716512044
21600,-22.2427174886067
21599,-23.4486551920573
21598,-24.3845759073893
21597,-21.3416859944661
21596,-24.0838048299153
21595,-22.2499476114909
21594,-20.9618006388346
21593,-21.6818400065104
21592,-22.5582895914713
21591,-22.5487630208333
21590,-23.777077738444
21589,-24.3657567342122
21588,-23.1306823730469
21587,-22.6050755818685
21586,-22.3930063883463
21585,-23.6854817708333
21584,-24.8255905151367
21583,-22.8282938639323
21582,-23.3326705932617
21581,-23.173930867513
21580,-22.4856959025065
21579,-21.9844472249349
21578,-21.6583363850911
21577,-24.2243967692057
21576,-23.912825012207
21575,-23.753759765625
21574,-24.3686533610026
21573,-23.3069010416666
21572,-22.483999633789
21571,-23.266091410319
21570,-23.0564025878906
21569,-23.7137003580729
21568,-23.627549235026
21567,-23.3530487060547
21566,-23.488503519694
21565,-23.7314641316732
21564,-24.001821899414
21563,-23.4244878133138
21562,-24.6674967447916
21561,-23.4399220784505
21560,-21.7965148925781
21559,-24.038682047526
21558,-21.9606994628906
21557,-24.1970682779948
21556,-23.5379750569661
21555,-23.6632853190104
21554,-23.3636001586914
21553,-23.5245778401692
21552,-23.4552164713541
21551,-24.33226369222
21550,-22.9256067911784
21549,-24.8156646728515
21548,-23.6240498860677
21547,-24.2457412719726
21546,-23.0069946289062
21545,-22.9596618652344
21544,-23.4491282145182
21543,-22.8514083862304
21542,-25.1860870361328
21541,-22.8216181437174
21540,-23.9103251139323
21539,-23.7770294189453
21538,-23.2166351318359
21537,-23.6357762654622
21536,-24.0399459838867
21535,-23.6207590738932
21534,-22.7877309163411
21533,-23.6143173217773
21532,-23.6217305501302
21531,-23.5368637084961
21530,-23.9202229817708
21529,-23.7143742879232
21528,-22.8776229858398
21527,-23.4339482625325
21526,-24.1557601928711
21525,-23.3821523030599
21524,-22.3170049031575
21523,-22.0463165283203
21522,-24.0295954386393
21521,-23.8109751383463
21520,-23.9911661783854
21519,-23.0501337687174
21518,-22.9697301228841
21517,-23.6580998738607
21516,-23.8199930826823
21515,-23.9006815592448
21514,-23.2325856526692
21513,-23.0317977905273
21512,-22.6339502970377
21511,-22.9579020182291
21510,-23.6410125732422
21509,-24.6449467976888
21508,-24.2856658935547
21507,-22.1804590861002
21506,-24.5018524169922
21505,-23.112651570638
21504,-23.3935989379883
21503,-24.0593856811523
21502,-22.7534749348958
21501,-24.1281417846679
21500,-22.6668787638346
21499,-22.6639872233073
21498,-24.0964441935221
21497,-22.108501180013
21496,-22.3475835164388
21495,-22.7437779744466
21494,-22.129746500651
21493,-24.2906606038411
21492,-23.9371627807617
21491,-23.5387532552083
21490,-22.43138478597
21489,-22.4777231852213
21488,-25.2723983764648
21487,-23.7642959594726
21486,-23.9245183308919
21485,-23.0894073486328
21484,-22.9274988810221
21483,-23.2289744059245
21482,-22.7544413248698
21481,-22.0516443888346
21480,-25.0010640462239
21479,-23.4410232543945
21478,-22.1217254638672
21477,-23.9804799397786
21476,-23.6462793986002
21475,-23.2809000651041
21474,-23.2453877766927
21473,-24.3629898071289
21472,-23.7296305338541
21471,-22.6062759399414
21470,-21.5815770467122
21469,-22.784656270345
21468,-22.3728062947591
21467,-23.0171239217122
21466,-21.9734024047851
21465,-23.2883972167969
21464,-23.4206680297851
21463,-23.3997482299804
21462,-23.7235117594401
21461,-23.4379282633463
21460,-23.9238037109375
21459,-21.657942199707
21458,-21.9871938069661
21457,-21.1848688761393
21456,-22.5315714518229
21455,-22.3634246826172
21454,-23.4837046305338
21453,-23.4682525634765
21452,-22.7775939941406
21451,-23.4599721272786
21450,-23.4956649780273
21449,-22.3325612386067
21448,-23.6024561564127
21447,-21.7905181884765
21446,-22.7958053588867
21445,-23.8403330485026
21444,-23.2929163614909
21443,-24.5682383219401
21442,-23.7804550170898
21441,-22.1021865844726
21440,-22.5812896728515
21439,-24.0495590209961
21438,-23.6006505330403
21437,-24.3823099772135
21436,-23.057241821289
21435,-22.9763244628906
21434,-24.2044255574544
21433,-21.570405069987
21432,-23.150867207845
21431,-24.8870732625325
21430,-23.4727945963541
21429,-24.3550145467122
21428,-23.3547983805338
21427,-21.9174382527669
21426,-22.5768468221028
21425,-24.0885172526041
21424,-23.9462926228841
21423,-24.1624333699544
21422,-23.2221257527669
21421,-21.858625793457
21420,-24.074685160319
21419,-22.3520975748698
21418,-22.7270619710286
21417,-22.602407836914
21416,-20.7064448038737
21415,-22.8678573608398
21414,-24.2865687052409
21413,-24.5361592610677
21412,-24.9608596801758
21411,-22.8045028686523
21410,-23.2232294718424
21409,-22.1172190348307
21408,-23.1788772583008
21407,-23.1634963989258
21406,-23.2049977620442
21405,-24.0433461507161
21404,-22.8103215535482
21403,-22.5590143839518
21402,-23.9798365275065
21401,-23.2145472208659
21400,-23.1307637532552
21399,-23.7478825887044
21398,-23.3217859903971
21397,-22.2230794270833
21396,-23.7071848551432
21395,-23.2368453979492
21394,-22.8495239257812
21393,-23.3503326416015
21392,-23.0441370646159
21391,-23.6264734903971
21390,-23.5712315877278
21389,-21.9912068684896
21388,-23.7175048828125
21387,-23.8859975179036
21386,-23.389273071289
21385,-23.7725458780924
21384,-22.6031656901041
21383,-23.1626266479492
21382,-22.408061726888
21381,-25.1874425252278
21380,-21.7402481079101
21379,-25.0310806274414
21378,-23.5825561523437
21377,-22.8573796590169
21376,-23.7466644287109
21375,-22.861186726888
21374,-23.7921025594075
21373,-23.4712407430013
21372,-23.0643320719401
21371,-24.0676635742187
21370,-22.7106511433919
21369,-22.9039189656575
21368,-24.3287516276041
21367,-22.8326883951823
21366,-22.7224716186523
21365,-22.8757334391276
21364,-22.1301228841146
21363,-23.4074844360351
21362,-22.4377426147461
21361,-23.5989974975586
21360,-23.3406560262044
21359,-23.5060562133789
21358,-22.6803802490234
21357,-22.9435104370117
21356,-22.4390268961588
21355,-24.3320704142252
21354,-23.7099034627278
21353,-22.7539733886719
21352,-22.1705612182617
21351,-22.6372436523437
21350,-23.2717193603515
21349,-22.6044347127278
21348,-23.4467122395833
21347,-23.2119608561198
21346,-23.3598058064778
21345,-22.9474192301432
21344,-23.6558720906575
21343,-24.6845942179362
21342,-23.065657043457
21341,-22.9477472941081
21340,-21.8719721476237
21339,-24.2496627807617
21338,-23.2954976399739
21337,-22.8527460734049
21336,-23.5012802124023
21335,-24.1665201822916
21334,-23.5700490315755
21333,-21.5499048868815
21332,-22.8587809244791
21331,-22.5795298258463
21330,-22.9501276652018
21329,-23.4654932657877
21328,-23.1736104329427
21327,-22.5946360270182
21326,-22.0849365234375
21325,-23.7000946044922
21324,-23.2593953450521
21323,-22.7716888427734
21322,-21.4242309570312
21321,-22.6124608357747
21320,-23.3391504923502
21319,-21.9142720540364
21318,-23.7823954264323
21317,-22.8544092814127
21316,-24.0521504720052
21315,-23.7841018676758
21314,-22.7943557739258
21313,-22.4478642781575
21312,-23.7229192097982
21311,-23.5862360636393
21310,-22.7554000854492
21309,-23.1283630371094
21308,-23.1555872599284
21307,-25.09007619222
21306,-24.839089457194
21305,-24.0542510986328
21304,-23.3240086873372
21303,-23.5113077799479
21302,-21.6704950968424
21301,-22.1028427124023
21300,-22.5992721557617
21299,-22.8813563028971
21298,-23.7428141276041
21297,-23.6989145914713
21296,-22.573344930013
21295,-22.3154612223307
21294,-23.6133204142252
21293,-23.5534932454427
21292,-21.6918752034505
21291,-22.6510986328125
21290,-24.2861618041992
21289,-23.4476913452148
21288,-22.7436457316081
21287,-23.658669535319
21286,-23.8127985636393
21285,-22.1452646891276
21284,-20.6454681396484
21283,-23.0017405192057
21282,-24.3178619384765
21281,-23.7294321695963
21280,-22.781841023763
21279,-24.6500178019206
21278,-23.1089029947916
21277,-23.6581227620442
21276,-23.9518137613932
21275,-23.878037516276
21274,-23.1949066162109
21273,-22.4384623209635
21272,-22.3638544718424
21271,-23.3923706054687
21270,-22.6712809244791
21269,-24.5280746459961
21268,-22.4534362792969
21267,-22.5115061442057
21266,-24.1053476969401
21265,-23.0500930786133
21264,-23.6418975830078
21263,-22.9641199747721
21262,-22.8158147176107
21261,-23.185649617513
21260,-23.9184122721354
21259,-22.5325225830078
21258,-22.4433451334635
21257,-24.1361857096354
21256,-23.0480534871419
21255,-23.2044611612956
21254,-23.8557240804036
21253,-23.393418375651
21252,-24.1064793904622
21251,-22.8358571370442
21250,-23.3655990600586
21249,-22.6241007486979
21248,-22.284292602539
21247,-24.0212488810221
21246,-23.0941528320312
21245,-23.3237060546875
21244,-23.7962326049804
21243,-23.4888341267903
21242,-22.9831832885742
21241,-22.3436874389648
21240,-22.6612533569336
21239,-21.3805857340495
21238,-20.7583984375
21237,-23.6750295003255
21236,-23.5092732747396
21235,-22.6797724405924
21234,-23.5783065795898
21233,-22.8089380900065
21232,-23.6729924519857
21231,-24.2039372762044
21230,-23.6822265625
21229,-24.1950286865234
21228,-23.1853368123372
21227,-24.3235305786133
21226,-23.1329940795898
21225,-24.9697886149088
21224,-23.562239074707
21223,-23.0290054321289
21222,-23.9630645751953
21221,-22.3924647013346
21220,-22.4587895711263
21219,-21.4272521972656
21218,-20.8992243448893
21217,-22.6555287679036
21216,-21.9695292154948
21215,-23.136203511556
21214,-22.7711878458659
21213,-23.4232442220052
21212,-23.481667582194
21211,-24.7860295613607
21210,-21.9099792480469
21209,-21.241921488444
21208,-23.5189982096354
21207,-23.6423985799153
21206,-22.5632792154948
21205,-22.4488179524739
21204,-22.3453913370768
21203,-21.6122090657552
21202,-21.9447820027669
21201,-23.1390340169271
21200,-23.8601949055989
21199,-23.9136845906575
21198,-23.0926015218099
21197,-22.8677912394206
21196,-23.5249796549479
21195,-23.7411865234375
21194,-23.5063334147135
21193,-23.7246002197265
21192,-23.6347895304362
21191,-22.6006403605143
21190,-22.4365651448567
21189,-22.7701375325521
21188,-23.0532643636067
21187,-22.3506225585937
21186,-23.7889821370442
21185,-24.0209030151367
21184,-24.14525197347
21183,-24.1219823201497
21182,-23.4621159871419
21181,-22.8810002644857
21180,-21.3477818806966
21179,-23.2768005371094
21178,-22.4283686319987
21177,-22.4661265055338
21176,-22.6223052978515
21175,-23.3421157836914
21174,-23.074441019694
21173,-24.4063044230143
21172,-21.9537287394206
21171,-22.6814687093099
21170,-22.6524210611979
21169,-22.7773371378581
21168,-22.4469894409179
21167,-22.4313618977864
21166,-22.3377415974935
21165,-22.17991994222
21164,-24.553330485026
21163,-23.3125747680664
21162,-22.4931243896484
21161,-23.6096099853515
21160,-22.5234868367513
21159,-22.9952351888021
21158,-23.9885416666666
21157,-23.4292790730794
21156,-22.649755859375
21155,-23.5315053304036
21154,-23.0671015421549
21153,-22.9920715332031
21152,-23.2050231933594
21151,-22.6426249186198
21150,-23.8263025919596
21149,-23.9943272908528
21148,-23.9036366780599
21147,-23.5379292805989
21146,-23.5259460449219
21145,-23.29613087972
21144,-23.4917129516601
21143,-24.3875564575195
21142,-24.1557652791341
21141,-23.8243545532226
21140,-22.9430552164713
21139,-23.5859995524088
21138,-21.8130427042643
21137,-24.2264032999674
21136,-23.4076649983724
21135,-23.1169596354166
21134,-23.0486053466797
21133,-23.0684799194336
21132,-23.7845240275065
21131,-24.086284383138
