"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
15612,-37.8020843505859
15611,-37.1422587076823
15610,-34.4357513427734
15609,-36.047226969401
15608,-32.5742858886719
15607,-32.9343780517578
15606,-33.8017384847005
15605,-33.7033955891927
15604,-36.2090464274088
15603,-38.8752044677734
15602,-36.6144419352213
15601,-36.5645711263021
15600,-39.1801411946614
15599,-36.6570241292318
15598,-34.9413309733073
15597,-34.7128814697265
15596,-34.5588897705078
15595,-34.437602742513
15594,-37.1526397705078
15593,-35.952007039388
15592,-36.2684997558594
15591,-40.7879954020182
15590,-36.480322265625
15589,-32.7068440755208
15588,-41.0575673421224
15587,-36.3550526936849
15586,-33.1550557454427
15585,-39.2144073486328
15584,-35.2604838053385
15583,-33.9559387207031
15582,-35.6034403483073
15581,-41.62314453125
15580,-34.6850036621094
15579,-37.9419921875
15578,-36.1067565917969
15577,-36.1891031901041
15576,-37.7229064941406
15575,-36.2859354654948
15574,-35.412461344401
15573,-35.6325998942057
15572,-39.5568145751953
15571,-37.143911743164
15570,-32.9866190592448
15569,-34.9862884521484
15568,-39.8023895263672
15567,-35.0067199707031
15566,-31.3969380696614
15565,-38.7380432128906
15564,-34.0425018310547
15563,-35.0178944905599
15562,-37.6532552083333
15561,-33.3935913085937
15560,-32.7974456787109
15559,-37.7911590576172
15558,-37.3046376546224
15557,-34.3219055175781
15556,-33.3447682698568
15555,-34.9952351888021
15554,-37.4437774658203
15553,-36.8030354817708
15552,-33.0487426757812
15551,-38.0719309488932
15550,-31.9388946533203
15549,-38.1271372477213
15548,-33.5831461588541
15547,-37.7719482421875
15546,-33.9688680013021
15545,-38.0944122314453
15544,-32.3017079671224
15543,-32.7158671061198
15542,-33.7286387125651
15541,-38.4942891438802
15540,-37.2985850016276
15539,-34.8649302164713
15538,-38.1607421875
15537,-36.3403889973958
15536,-39.1786865234375
15535,-38.2623352050781
15534,-39.7660736083984
15533,-35.4126953125
15532,-37.0460927327474
15531,-39.3576619466146
15530,-37.1253163655599
15529,-41.0873931884765
15528,-40.3247639973958
15527,-34.1077840169271
15526,-32.7523712158203
15525,-36.2424428304036
15524,-36.3279327392578
15523,-33.1970174153646
15522,-35.2150736490885
15521,-38.1613627115885
15520,-41.1003682454427
15519,-39.2056233723958
15518,-33.699326578776
15517,-34.4844167073568
15516,-34.6606099446614
15515,-36.4128173828125
15514,-33.8624532063802
15513,-34.9619964599609
15512,-37.0282297770182
15511,-37.7049977620443
15510,-31.9033111572265
15509,-34.762559000651
15508,-30.5422627766927
15507,-40.6732238769531
15506,-32.780137125651
15505,-31.994975789388
15504,-36.0789093017578
15503,-31.8151611328125
15502,-34.6869669596354
15501,-37.3083913167318
15500,-35.5525573730469
15499,-32.4295054117838
15498,-32.8520823160807
15497,-36.5410166422526
15496,-32.3804890950521
15495,-33.9525614420573
15494,-37.6347768147786
15493,-34.541606648763
15492,-37.4803426106771
15491,-34.5974792480469
15490,-36.4908813476562
15489,-37.6067718505859
15488,-33.320415242513
15487,-37.1912445068359
15486,-33.4394795735677
15485,-35.3441884358724
15484,-41.2342946370443
15483,-36.5331583658854
15482,-44.4365651448568
15481,-34.8434102376302
15480,-38.2042958577474
15479,-35.800400797526
15478,-36.038198852539
15477,-35.2846282958984
15476,-33.7651835123698
15475,-33.6780202229818
15474,-41.4646667480469
15473,-37.20712890625
15472,-37.6510579427083
15471,-34.3857432047526
15470,-35.6226104736328
15469,-41.3515991210937
15468,-31.3665069580078
15467,-36.3011535644531
15466,-34.5586201985677
15465,-34.1880350748698
15464,-34.6605692545573
15463,-35.6164713541666
15462,-34.4823313395182
15461,-42.1991587320963
15460,-36.1455088297526
15459,-36.0027730305989
15458,-36.5593424479166
15457,-38.980815633138
15456,-35.9139821370443
15455,-36.2746795654297
15454,-37.5918029785156
15453,-34.1340291341146
15452,-30.111196899414
15451,-35.4943145751953
15450,-34.799658203125
15449,-33.6892100016276
15448,-30.0525065104166
15447,-37.859482828776
15446,-34.6307688395182
15445,-33.5696573893229
15444,-34.575547281901
15443,-35.2435414632161
15442,-33.4160471598307
15441,-30.1315216064453
15440,-35.1059173583984
15439,-35.6617441813151
15438,-34.2315938313802
15437,-32.6670033772786
15436,-37.9265096028646
15435,-36.8085540771484
15434,-34.4128529866536
15433,-33.9718383789062
15432,-35.1936503092448
15431,-37.2263956705729
15430,-33.9058186848958
15429,-35.202973429362
15428,-37.2246154785156
15427,-35.2237915039062
15426,-35.4539906819661
15425,-35.4612996419271
15424,-37.2697916666666
15423,-33.0091918945312
15422,-36.5278737386068
15421,-38.6276407877604
15420,-38.7061828613281
15419,-38.3169718424479
15418,-35.6376047770182
15417,-38.2392486572265
15416,-35.9990753173828
15415,-40.2179270426432
15414,-33.8892985026041
15413,-38.1305094401041
15412,-41.765488688151
15411,-33.787456258138
15410,-33.3429016113281
15409,-35.8901428222656
15408,-33.5548665364583
15407,-35.6379455566406
15406,-31.5703542073567
15405,-38.5771240234375
15404,-39.1993570963541
15403,-37.3594065348307
15402,-37.178315226237
15401,-34.1920227050781
15400,-35.711767578125
15399,-34.5268107096354
15398,-39.2436126708984
15397,-37.2887227376302
15396,-39.2521321614583
