measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 200,6331,6442,6051,6194,6713,7570,Undatable,Yes
EN18218 201,6350,6470,6073,6213,6764,7616,Undatable,Yes
EN18218 202,6369,6497,6094,6231,6815,7652,Undatable,Yes
EN18218 203,6387,6524,6117,6248,6866,7700,Undatable,Yes
EN18218 204,6404,6550,6136,6266,6917,7738,Undatable,Yes
EN18218 205,6421,6577,6157,6285,6967,7784,Undatable,Yes
EN18218 206,6437,6604,6178,6303,7016,7830,Undatable,Yes
EN18218 207,6454,6630,6200,6323,7066,7877,Undatable,Yes
EN18218 208,6471,6657,6223,6343,7115,7922,Undatable,Yes
EN18218 209,6488,6684,6248,6364,7167,7964,Undatable,Yes
EN18218 210,6504,6711,6273,6385,7217,8003,Undatable,Yes
EN18218 211,6521,6738,6298,6407,7267,8046,Undatable,Yes
EN18218 212,6538,6766,6324,6429,7318,8092,Undatable,Yes
EN18218 213,6556,6793,6354,6450,7368,8125,Undatable,Yes
EN18218 214,6573,6820,6380,6471,7419,8161,Undatable,Yes
EN18218 215,6591,6847,6407,6492,7470,8200,Undatable,Yes
EN18218 216,6609,6875,6431,6513,7521,8236,Undatable,Yes
EN18218 217,6627,6902,6451,6534,7575,8266,Undatable,Yes
EN18218 218,6646,6928,6474,6557,7622,8297,Undatable,Yes
EN18218 219,6665,6955,6496,6578,7675,8331,Undatable,Yes
EN18218 220,6685,6983,6514,6599,7727,8362,Undatable,Yes
EN18218 221,6706,7010,6532,6619,7778,8395,Undatable,Yes
EN18218 222,6743,7048,6564,6653,7827,8426,Undatable,Yes
EN18218 223,6830,7119,6634,6728,7879,8459,Undatable,Yes
EN18218 224,6924,7191,6691,6795,7930,8486,Undatable,Yes
EN18218 225,7018,7263,6739,6858,7982,8518,Undatable,Yes
EN18218 226,7113,7335,6785,6918,8033,8548,Undatable,Yes
EN18218 227,7209,7407,6825,6975,8081,8580,Undatable,Yes
EN18218 228,7304,7479,6863,7031,8132,8613,Undatable,Yes
EN18218 229,7397,7551,6904,7089,8187,8645,Undatable,Yes
EN18218 230,7490,7622,6940,7143,8241,8678,Undatable,Yes
EN18218 231,7583,7693,6975,7200,8299,8712,Undatable,Yes
EN18218 232,7675,7762,7012,7255,8357,8744,Undatable,Yes
EN18218 233,7766,7830,7046,7311,8413,8774,Undatable,Yes
EN18218 234,7854,7897,7083,7366,8464,8808,Undatable,Yes
EN18218 235,7943,7962,7117,7424,8518,8841,Undatable,Yes
EN18218 236,8030,8027,7153,7479,8571,8874,Undatable,Yes
EN18218 237,8119,8092,7187,7537,8620,8909,Undatable,Yes
