measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 147,5434,5441,5247,5376,5496,5666,hamstr,Yes
EN18218 148,5444,5451,5259,5387,5505,5673,hamstr,Yes
EN18218 149,5454,5461,5273,5398,5514,5680,hamstr,Yes
EN18218 150,5464,5471,5285,5409,5523,5688,hamstr,Yes
EN18218 151,5473,5481,5298,5420,5532,5694,hamstr,Yes
EN18218 152,5483,5491,5313,5431,5540,5700,hamstr,Yes
EN18218 153,5493,5501,5326,5442,5548,5706,hamstr,Yes
EN18218 154,5503,5511,5338,5453,5557,5713,hamstr,Yes
EN18218 155,5513,5520,5350,5464,5567,5720,hamstr,Yes
EN18218 156,5523,5530,5362,5474,5576,5729,hamstr,Yes
EN18218 157,5534,5540,5374,5484,5585,5736,hamstr,Yes
EN18218 158,5543,5550,5389,5495,5594,5742,hamstr,Yes
EN18218 159,5553,5560,5403,5506,5602,5749,hamstr,Yes
EN18218 160,5563,5570,5416,5517,5611,5757,hamstr,Yes
EN18218 161,5573,5580,5427,5528,5620,5765,hamstr,Yes
EN18218 162,5584,5590,5439,5539,5630,5772,hamstr,Yes
EN18218 163,5594,5601,5449,5549,5641,5780,hamstr,Yes
EN18218 164,5605,5612,5463,5562,5652,5788,hamstr,Yes
EN18218 165,5617,5624,5476,5576,5664,5798,hamstr,Yes
EN18218 166,5631,5637,5487,5589,5676,5808,hamstr,Yes
EN18218 167,5644,5649,5498,5601,5689,5819,hamstr,Yes
EN18218 168,5657,5661,5507,5614,5702,5830,hamstr,Yes
EN18218 169,5670,5673,5517,5625,5715,5842,hamstr,Yes
EN18218 170,5682,5685,5526,5637,5729,5856,hamstr,Yes
EN18218 171,5695,5698,5539,5650,5741,5866,hamstr,Yes
EN18218 172,5708,5710,5550,5663,5754,5877,hamstr,Yes
EN18218 173,5721,5722,5560,5676,5767,5889,hamstr,Yes
EN18218 174,5734,5735,5569,5688,5780,5902,hamstr,Yes
EN18218 175,5747,5747,5577,5700,5795,5918,hamstr,Yes
EN18218 176,5760,5759,5585,5711,5808,5933,hamstr,Yes
EN18218 177,5773,5771,5595,5724,5821,5944,hamstr,Yes
EN18218 178,5786,5784,5607,5737,5834,5954,hamstr,Yes
EN18218 179,5799,5796,5617,5749,5847,5966,hamstr,Yes
EN18218 180,5812,5808,5625,5762,5860,5978,hamstr,Yes
EN18218 181,5825,5821,5634,5774,5874,5992,hamstr,Yes
EN18218 182,5838,5833,5641,5786,5888,6006,hamstr,Yes
EN18218 183,5851,5845,5648,5797,5901,6020,hamstr,Yes
EN18218 184,5864,5857,5657,5809,5913,6032,hamstr,Yes
EN18218 185,5877,5869,5666,5822,5926,6045,hamstr,Yes
EN18218 186,5889,5881,5673,5833,5939,6057,hamstr,Yes
EN18218 187,5901,5892,5680,5845,5953,6073,hamstr,Yes
EN18218 188,5912,5904,5688,5856,5965,6088,hamstr,Yes
EN18218 189,5924,5916,5694,5866,5979,6106,hamstr,Yes
EN18218 190,5935,5927,5700,5876,5990,6121,hamstr,Yes
EN18218 191,5946,5937,5708,5886,6002,6135,hamstr,Yes
EN18218 192,5957,5948,5715,5895,6013,6148,hamstr,Yes
EN18218 193,5967,5958,5720,5905,6025,6163,hamstr,Yes
EN18218 194,5976,5968,5725,5913,6036,6178,hamstr,Yes
EN18218 195,5986,5979,5729,5921,6048,6196,hamstr,Yes
EN18218 196,5998,5991,5738,5932,6062,6215,hamstr,Yes
EN18218 197,6030,6023,5779,5964,6092,6243,hamstr,Yes
EN18218 198,6061,6055,5813,5995,6123,6276,hamstr,Yes
EN18218 199,6093,6087,5842,6025,6156,6311,hamstr,Yes
EN18218 200,6123,6119,5870,6055,6187,6351,hamstr,Yes
EN18218 201,6153,6151,5894,6083,6219,6394,hamstr,Yes
EN18218 202,6182,6183,5920,6110,6252,6441,hamstr,Yes
EN18218 203,6213,6215,5954,6141,6284,6478,hamstr,Yes
EN18218 204,6244,6247,5991,6175,6315,6507,hamstr,Yes
EN18218 205,6276,6280,6027,6209,6347,6540,hamstr,Yes
EN18218 206,6309,6312,6058,6242,6379,6575,hamstr,Yes
EN18218 207,6341,6345,6086,6272,6413,6614,hamstr,Yes
EN18218 208,6374,6378,6111,6303,6446,6654,hamstr,Yes
EN18218 209,6406,6410,6136,6332,6480,6697,hamstr,Yes
EN18218 210,6437,6443,6180,6366,6508,6725,hamstr,Yes
EN18218 211,6468,6475,6222,6399,6540,6753,hamstr,Yes
EN18218 212,6499,6507,6259,6431,6570,6784,hamstr,Yes
EN18218 213,6531,6540,6292,6464,6601,6819,hamstr,Yes
EN18218 214,6561,6572,6323,6496,6635,6858,hamstr,Yes
EN18218 215,6594,6605,6350,6526,6668,6899,hamstr,Yes
EN18218 216,6625,6638,6390,6557,6698,6932,hamstr,Yes
EN18218 217,6655,6672,6441,6591,6726,6960,hamstr,Yes
EN18218 218,6685,6705,6490,6625,6755,6993,hamstr,Yes
EN18218 219,6716,6739,6533,6658,6784,7025,hamstr,Yes
EN18218 220,6748,6773,6571,6692,6816,7060,hamstr,Yes
EN18218 221,6781,6806,6603,6724,6848,7103,hamstr,Yes
EN18218 222,6813,6840,6631,6756,6884,7145,hamstr,Yes
EN18218 223,6895,6921,6706,6838,6968,7219,hamstr,Yes
EN18218 224,6983,7002,6764,6914,7061,7313,hamstr,Yes
EN18218 225,7067,7084,6811,6985,7158,7424,hamstr,Yes
EN18218 226,7150,7166,6854,7053,7253,7548,hamstr,Yes
EN18218 227,7230,7247,6891,7118,7346,7681,hamstr,Yes
EN18218 228,7309,7329,6926,7180,7442,7816,hamstr,Yes
EN18218 229,7388,7411,6989,7254,7530,7917,hamstr,Yes
EN18218 230,7472,7493,7079,7342,7611,7980,hamstr,Yes
EN18218 231,7558,7575,7155,7435,7693,8053,hamstr,Yes
EN18218 232,7645,7657,7223,7520,7783,8128,hamstr,Yes
EN18218 233,7731,7739,7275,7602,7873,8214,hamstr,Yes
EN18218 234,7820,7821,7327,7678,7964,8315,hamstr,Yes
EN18218 235,7906,7903,7373,7751,8055,8427,hamstr,Yes
EN18218 236,7987,7984,7480,7840,8130,8484,hamstr,Yes
EN18218 237,8069,8066,7584,7930,8205,8539,hamstr,Yes
EN18218 238,8155,8148,7676,8020,8284,8596,hamstr,Yes
EN18218 239,8242,8230,7755,8107,8365,8663,hamstr,Yes
EN18218 240,8327,8312,7825,8193,8455,8739,hamstr,Yes
EN18218 241,8411,8393,7887,8273,8541,8829,hamstr,Yes
EN18218 242,8493,8474,7979,8355,8621,8902,hamstr,Yes
EN18218 243,8569,8553,8111,8448,8683,8937,hamstr,Yes
EN18218 244,8647,8631,8236,8537,8750,8977,hamstr,Yes
EN18218 245,8725,8710,8348,8626,8816,9019,hamstr,Yes
EN18218 246,8806,8789,8449,8716,8888,9066,hamstr,Yes
EN18218 247,8888,8868,8532,8806,8964,9122,hamstr,Yes
EN18218 248,8971,8946,8605,8889,9042,9194,hamstr,Yes
EN18218 249,9010,8986,8657,8929,9078,9224,hamstr,Yes
EN18218 250,9042,9019,8707,8964,9107,9249,hamstr,Yes
EN18218 251,9072,9051,8752,8997,9137,9278,hamstr,Yes
EN18218 252,9103,9084,8792,9031,9169,9308,hamstr,Yes
EN18218 253,9134,9117,8831,9064,9199,9341,hamstr,Yes
EN18218 254,9165,9150,8868,9095,9231,9378,hamstr,Yes
EN18218 255,9195,9182,8906,9127,9259,9412,hamstr,Yes
EN18218 256,9222,9213,8956,9157,9285,9435,hamstr,Yes
EN18218 257,9250,9243,9001,9188,9310,9459,hamstr,Yes
EN18218 258,9279,9273,9042,9220,9337,9487,hamstr,Yes
EN18218 259,9307,9304,9082,9250,9364,9516,hamstr,Yes
EN18218 260,9336,9334,9115,9279,9392,9548,hamstr,Yes
EN18218 261,9366,9365,9146,9309,9421,9583,hamstr,Yes
EN18218 262,9383,9384,9174,9329,9437,9599,hamstr,Yes
EN18218 263,9399,9400,9202,9347,9451,9610,hamstr,Yes
EN18218 264,9414,9417,9230,9364,9465,9622,hamstr,Yes
EN18218 265,9429,9433,9253,9380,9479,9634,hamstr,Yes
EN18218 266,9445,9450,9276,9398,9494,9647,hamstr,Yes
EN18218 267,9461,9466,9296,9415,9509,9661,hamstr,Yes
EN18218 268,9477,9483,9317,9433,9524,9675,hamstr,Yes
EN18218 269,9495,9501,9345,9452,9540,9689,hamstr,Yes
EN18218 270,9512,9520,9366,9471,9557,9702,hamstr,Yes
EN18218 271,9530,9538,9388,9490,9574,9715,hamstr,Yes
EN18218 272,9549,9556,9407,9507,9592,9732,hamstr,Yes
EN18218 273,9567,9574,9424,9526,9612,9747,hamstr,Yes
EN18218 274,9586,9592,9441,9543,9632,9767,hamstr,Yes
EN18218 275,9605,9612,9462,9563,9651,9782,hamstr,Yes
EN18218 276,9626,9632,9485,9584,9670,9797,hamstr,Yes
EN18218 277,9647,9652,9505,9605,9690,9814,hamstr,Yes
EN18218 278,9668,9672,9521,9625,9712,9833,hamstr,Yes
EN18218 279,9688,9692,9538,9645,9734,9856,hamstr,Yes
EN18218 280,9708,9712,9552,9663,9757,9880,hamstr,Yes
EN18218 281,9728,9732,9569,9683,9778,9904,hamstr,Yes
EN18218 282,9748,9752,9595,9704,9796,9920,hamstr,Yes
EN18218 283,9770,9772,9617,9725,9814,9935,hamstr,Yes
EN18218 284,9791,9792,9636,9746,9834,9955,hamstr,Yes
EN18218 285,9812,9812,9654,9767,9855,9974,hamstr,Yes
EN18218 286,9832,9832,9670,9786,9876,9997,hamstr,Yes
EN18218 287,9852,9852,9686,9806,9897,10020,hamstr,Yes
EN18218 288,9872,9872,9709,9827,9917,10038,hamstr,Yes
EN18218 289,9892,9892,9735,9848,9935,10053,hamstr,Yes
EN18218 290,9912,9912,9759,9869,9954,10069,hamstr,Yes
EN18218 291,9932,9932,9780,9890,9973,10088,hamstr,Yes
EN18218 292,9953,9953,9799,9910,9993,10109,hamstr,Yes
EN18218 293,9973,9973,9814,9930,10015,10131,hamstr,Yes
EN18218 294,9993,9993,9832,9949,10035,10153,hamstr,Yes
EN18218 295,10013,10012,9853,9969,10055,10170,hamstr,Yes
EN18218 296,10032,10031,9872,9988,10075,10187,hamstr,Yes
EN18218 297,10051,10051,9892,10006,10094,10208,hamstr,Yes
EN18218 298,10071,10070,9909,10026,10115,10229,hamstr,Yes
EN18218 299,10090,10089,9923,10043,10136,10254,hamstr,Yes
EN18218 300,10109,10109,9938,10059,10157,10283,hamstr,Yes
EN18218 301,10128,10128,9957,10078,10177,10304,hamstr,Yes
EN18218 302,10147,10147,9977,10099,10194,10320,hamstr,Yes
EN18218 303,10166,10167,9996,10119,10214,10338,hamstr,Yes
EN18218 304,10186,10186,10014,10139,10234,10356,hamstr,Yes
EN18218 305,10206,10205,10029,10158,10254,10378,hamstr,Yes
EN18218 306,10226,10225,10044,10176,10274,10401,hamstr,Yes
EN18218 307,10246,10244,10058,10194,10295,10425,hamstr,Yes
EN18218 308,10265,10263,10082,10214,10313,10440,hamstr,Yes
EN18218 309,10285,10283,10104,10234,10332,10456,hamstr,Yes
EN18218 310,10305,10302,10122,10254,10351,10474,hamstr,Yes
EN18218 311,10324,10321,10139,10274,10370,10492,hamstr,Yes
EN18218 312,10344,10341,10155,10293,10390,10514,hamstr,Yes
EN18218 313,10363,10360,10170,10311,10411,10538,hamstr,Yes
EN18218 314,10382,10379,10186,10330,10431,10560,hamstr,Yes
EN18218 315,10402,10398,10205,10350,10450,10578,hamstr,Yes
EN18218 316,10421,10417,10224,10370,10469,10599,hamstr,Yes
EN18218 317,10439,10437,10240,10389,10489,10624,hamstr,Yes
EN18218 318,10458,10456,10254,10407,10510,10648,hamstr,Yes
EN18218 319,10476,10475,10266,10423,10531,10673,hamstr,Yes
EN18218 320,10495,10494,10279,10440,10551,10701,hamstr,Yes
EN18218 321,10513,10512,10294,10458,10571,10723,hamstr,Yes
EN18218 322,10532,10531,10309,10475,10590,10746,hamstr,Yes
EN18218 323,10550,10549,10322,10491,10610,10771,hamstr,Yes
EN18218 324,10568,10568,10336,10507,10630,10797,hamstr,Yes
EN18218 325,10586,10586,10349,10523,10650,10823,hamstr,Yes
EN18218 326,10603,10605,10361,10538,10669,10853,hamstr,Yes
EN18218 327,10631,10633,10391,10566,10699,10883,hamstr,Yes
EN18218 328,10668,10672,10436,10605,10736,10916,hamstr,Yes
EN18218 329,10707,10711,10477,10643,10773,10954,hamstr,Yes
EN18218 330,10745,10749,10510,10680,10812,10994,hamstr,Yes
EN18218 331,10783,10788,10544,10716,10852,11042,hamstr,Yes
EN18218 332,10820,10826,10574,10752,10893,11099,hamstr,Yes
EN18218 333,10858,10865,10600,10784,10935,11154,hamstr,Yes
EN18218 334,10897,10907,10657,10828,10971,11191,hamstr,Yes
EN18218 335,10937,10950,10713,10871,11010,11230,hamstr,Yes
EN18218 336,10979,10992,10766,10913,11049,11270,hamstr,Yes
EN18218 337,11020,11035,10810,10955,11091,11314,hamstr,Yes
EN18218 338,11062,11077,10850,10996,11134,11364,hamstr,Yes
EN18218 339,11103,11120,10885,11035,11179,11419,hamstr,Yes
EN18218 340,11162,11179,10939,11092,11239,11479,hamstr,Yes
EN18218 341,11245,11258,11012,11176,11321,11555,hamstr,Yes
EN18218 342,11330,11338,11066,11251,11409,11641,hamstr,Yes
EN18218 343,11412,11418,11113,11324,11500,11743,hamstr,Yes
EN18218 344,11493,11497,11157,11393,11591,11860,hamstr,Yes
EN18218 345,11570,11577,11195,11458,11682,11983,hamstr,Yes
EN18218 346,11647,11657,11232,11523,11775,12112,hamstr,Yes
EN18218 347,11727,11737,11332,11611,11849,12173,hamstr,Yes
EN18218 348,11808,11817,11424,11699,11926,12232,hamstr,Yes
EN18218 349,11893,11897,11505,11787,12007,12292,hamstr,Yes
EN18218 350,11980,11977,11575,11870,12090,12359,hamstr,Yes
EN18218 351,12066,12057,11638,11949,12179,12442,hamstr,Yes
EN18218 352,12150,12137,11694,12024,12267,12534,hamstr,Yes
EN18218 353,12229,12217,11778,12105,12347,12612,hamstr,Yes
EN18218 354,12306,12297,11907,12200,12413,12646,hamstr,Yes
EN18218 355,12386,12377,12032,12290,12478,12687,hamstr,Yes
EN18218 356,12466,12456,12148,12382,12546,12731,hamstr,Yes
EN18218 357,12548,12536,12249,12472,12619,12779,hamstr,Yes
EN18218 358,12631,12616,12335,12561,12697,12837,hamstr,Yes
EN18218 359,12714,12696,12405,12643,12778,12913,hamstr,Yes
EN18218 360,12764,12747,12480,12700,12822,12948,hamstr,Yes
EN18218 361,12809,12792,12546,12752,12860,12976,hamstr,Yes
EN18218 362,12855,12838,12607,12802,12901,13005,hamstr,Yes
EN18218 363,12901,12883,12663,12851,12944,13043,hamstr,Yes
EN18218 364,12945,12929,12709,12893,12989,13090,hamstr,Yes
EN18218 365,12988,12974,12754,12935,13034,13148,hamstr,Yes
EN18218 366,13025,13015,12791,12971,13075,13203,hamstr,Yes
EN18218 367,13052,13044,12827,13001,13103,13227,hamstr,Yes
EN18218 368,13080,13073,12859,13029,13131,13254,hamstr,Yes
EN18218 369,13108,13102,12888,13056,13159,13286,hamstr,Yes
EN18218 370,13137,13131,12915,13083,13189,13317,hamstr,Yes
EN18218 371,13164,13160,12941,13108,13220,13354,hamstr,Yes
EN18218 372,13191,13189,12965,13134,13250,13395,hamstr,Yes
EN18218 373,13220,13217,13005,13163,13276,13420,hamstr,Yes
EN18218 374,13248,13246,13041,13192,13300,13444,hamstr,Yes
EN18218 375,13277,13274,13076,13221,13327,13469,hamstr,Yes
EN18218 376,13305,13303,13108,13251,13354,13498,hamstr,Yes
EN18218 377,13333,13331,13133,13278,13382,13527,hamstr,Yes
EN18218 378,13360,13360,13158,13306,13411,13562,hamstr,Yes
EN18218 379,13388,13389,13189,13335,13441,13596,hamstr,Yes
EN18218 380,13418,13421,13237,13367,13468,13620,hamstr,Yes
EN18218 381,13447,13453,13282,13400,13496,13647,hamstr,Yes
EN18218 382,13478,13485,13321,13433,13526,13676,hamstr,Yes
EN18218 383,13508,13517,13356,13464,13557,13711,hamstr,Yes
EN18218 384,13538,13549,13384,13495,13591,13748,hamstr,Yes
EN18218 385,13570,13581,13408,13525,13624,13789,hamstr,Yes
EN18218 386,13615,13626,13451,13569,13670,13838,hamstr,Yes
EN18218 387,13667,13676,13488,13614,13724,13896,hamstr,Yes
EN18218 388,13717,13726,13521,13656,13779,13963,hamstr,Yes
EN18218 389,13766,13775,13550,13697,13835,14039,hamstr,Yes
EN18218 390,13812,13825,13576,13738,13892,14123,hamstr,Yes
EN18218 391,13859,13875,13601,13776,13948,14207,hamstr,Yes
EN18218 392,13906,13924,13631,13818,14002,14285,hamstr,Yes
EN18218 393,13958,13975,13690,13872,14052,14325,hamstr,Yes
EN18218 394,14010,14026,13739,13926,14102,14366,hamstr,Yes
EN18218 395,14064,14076,13783,13979,14155,14412,hamstr,Yes
EN18218 396,14118,14127,13824,14032,14208,14463,hamstr,Yes
EN18218 397,14170,14178,13858,14080,14264,14519,hamstr,Yes
EN18218 398,14225,14228,13890,14126,14322,14584,hamstr,Yes
EN18218 399,14276,14279,13950,14178,14370,14632,hamstr,Yes
EN18218 400,14325,14330,14020,14235,14414,14666,hamstr,Yes
EN18218 401,14376,14382,14081,14291,14461,14705,hamstr,Yes
EN18218 402,14428,14433,14136,14345,14511,14751,hamstr,Yes
EN18218 403,14479,14484,14185,14397,14563,14801,hamstr,Yes
EN18218 404,14532,14535,14226,14448,14616,14859,hamstr,Yes
EN18218 405,14584,14587,14268,14496,14670,14922,hamstr,Yes
EN18218 406,14637,14640,14324,14551,14722,14969,hamstr,Yes
