"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
11409,-18.7086725870768
11408,-16.3525960286458
11407,-15.2122049967448
11406,-16.9052922566732
11405,-17.4560607910156
11404,-16.8982032775879
11403,-17.6583440144857
11402,-20.4739835103353
11401,-17.7111750284831
11400,-14.3403991699219
11399,-14.0044680277506
11398,-17.9382334391276
11397,-15.6935434977213
11396,-16.8602699279785
11395,-15.7854764302571
11394,-16.3071578979492
11393,-17.4334587097168
11392,-15.9896937052409
11391,-20.8697545369466
11390,-20.4410614013672
11389,-16.8182815551758
11388,-16.158804321289
11387,-17.7945795694987
11386,-16.6439422607422
11385,-14.5140925089518
11384,-17.0628430684407
11383,-18.9108006795247
11382,-19.6904141743978
11381,-16.5418139139811
11380,-17.7601760864258
11379,-17.0048418680827
11378,-18.1111180623372
11377,-16.1096010843913
11376,-16.9669123331706
11375,-14.3025522867838
11374,-15.9401624043782
11373,-15.4301767985026
11372,-19.0216773986816
11371,-15.6659187316894
11370,-16.0090749104817
11369,-14.9639546712239
11368,-15.5560223897298
11367,-20.0007537841797
11366,-18.503832244873
11365,-17.5901435852051
11364,-16.2650016784668
11363,-18.6132225036621
11362,-19.1694778442383
11361,-17.0869684855143
11360,-13.2555208841959
11359,-17.3883702596028
11358,-15.3157485961914
11357,-15.5173477172851
11356,-18.2230272928873
11355,-17.9414950052897
11354,-18.1272224426269
11353,-15.5936403910319
11352,-15.1043062845866
11351,-16.3695790608724
11350,-14.0066589355469
11349,-17.9700327555338
11348,-13.7957926432291
11347,-15.2389994303385
11346,-15.5460978190104
11345,-15.5192715962728
11344,-17.2828735351562
11343,-17.4693219502767
11342,-20.9657997131347
11341,-18.6940572102864
11340,-18.6014757792155
11339,-17.6941513061523
11338,-14.9909309387207
11337,-15.8878946940104
11336,-20.1321891784668
11335,-19.3386418660482
11334,-18.7504168192545
11333,-17.7873252868652
11332,-15.4764223734538
11331,-15.4476328531901
11330,-18.0623497009277
11329,-16.0156717936198
11328,-16.6867240905761
11327,-17.1975781758626
11326,-13.8662729899088
11325,-18.20095799764
11324,-16.1321128845215
11323,-15.9464299519857
11322,-19.2359044392903
11321,-17.0435368855794
11320,-15.7952153523763
11319,-14.9959459940592
11318,-16.9469703674316
11317,-17.2126233418782
11316,-18.3313697814941
11315,-16.0327349344889
11314,-17.9614064534505
11313,-20.0898854573567
11312,-18.0493441263834
11311,-16.2084640502929
11310,-17.5161155700683
11309,-15.6112833658854
11308,-19.1909037272135
11307,-16.4547803243001
11306,-15.9169105529785
11305,-15.8183451334635
11304,-17.7405253092448
11303,-18.8219144185384
11302,-18.4109074910482
11301,-16.9250523885091
11300,-17.0400032043457
11299,-17.704318745931
11298,-20.7996429443359
11297,-17.4604807535807
11296,-18.5905047098795
11295,-19.8637908935547
11294,-20.3607874552409
11293,-14.8381243387858
11292,-16.4409774780273
11291,-17.5960029602051
11290,-19.6061538696289
11289,-14.6093976338704
11288,-16.2926315307617
11287,-17.0463139851888
11286,-15.5851959228515
11285,-14.4320485432942
11284,-19.116183980306
11283,-19.3801330566406
11282,-20.3067446390788
11281,-15.0763153076172
11280,-17.2855717976888
11279,-18.1727877298991
11278,-17.435530090332
11277,-17.3632085164388
11276,-17.1640749613444
11275,-15.8418131510416
11274,-16.9761082967122
11273,-17.2988558451334
11272,-15.4569585164388
11271,-19.8627698262532
11270,-19.1513771057129
11269,-16.2122418721517
11268,-19.7110682169596
11267,-15.5814206441243
11266,-20.2455276489258
11265,-18.2780822753906
11264,-20.2041191101074
11263,-19.0783332824707
11262,-17.6256329854329
11261,-16.0722005208333
11260,-17.5079495747884
11259,-18.0615460713704
11258,-17.7845952351888
11257,-17.4829671223958
11256,-18.0433931986491
11255,-19.5701482137044
11254,-14.3401448567708
11253,-16.7543408711751
11252,-16.3517962137858
11251,-16.5547075907389
11250,-17.8311040242513
11249,-19.0205406188965
11248,-19.3074846903483
11247,-19.7907165527344
11246,-20.5598014831543
11245,-17.2412183125814
11244,-16.4846888224284
11243,-16.0171595255534
11242,-19.2813540140788
11241,-21.3017321268717
11240,-17.8631589253743
11239,-16.537762705485
11238,-17.9379638671875
11237,-15.7047014872233
