"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
11862,-18.1344309488932
11861,-17.2321050008138
11860,-16.3024836222331
11859,-17.4366071065267
11858,-20.5393203735351
11857,-17.400675201416
11856,-17.8875933329264
11855,-20.1675654093424
11854,-16.9671170552571
11853,-19.017935180664
11852,-17.8095624287923
11851,-17.0194750467936
11850,-18.3794578552246
11849,-20.9670356750488
11848,-20.5398760477702
11847,-18.3486656188965
11846,-19.3925893147786
11845,-18.426559193929
11844,-14.3140192667643
11843,-19.9771522521972
11842,-17.0143976847331
11841,-20.1112668355306
11840,-19.2055636088053
11839,-21.3788983662923
11838,-21.0828969319661
11837,-22.5798896789551
11836,-17.8091606140136
11835,-21.0318448384603
11834,-20.0699498494466
11833,-19.6701517740885
11832,-19.6905044555664
11831,-19.3837443033854
11830,-20.9431900024414
11829,-17.0331736246745
11828,-16.4408655802409
11827,-15.1992286682129
11826,-16.2230018615722
11825,-16.3090372721354
11824,-16.9566635131836
11823,-17.2232701619466
11822,-19.2969332377116
11821,-18.5416816711426
11820,-18.0378135681152
11819,-20.1253761291504
11818,-16.3444847106933
11817,-19.787934366862
11816,-21.4060246785482
11815,-18.5169497172038
11814,-17.4865097045898
11813,-19.1177645365397
11812,-17.4483640034993
11811,-16.3654261271159
11810,-17.0017417907715
11809,-17.8002698262532
11808,-17.158726755778
11807,-17.8595527648926
11806,-18.2834546407064
11805,-19.116625213623
11804,-18.6924423217773
11803,-23.2329175313314
11802,-15.2979530334472
11801,-17.5454099019368
11800,-18.9913111368815
11799,-18.7500239054362
11798,-18.5356709798177
11797,-16.6826588948567
11796,-18.5942545572916
11795,-20.1206942240397
11794,-22.0101506551107
11793,-17.1131411234538
11792,-17.4554466247558
11791,-18.0189829508463
11790,-18.6179870605469
11789,-18.2479715983073
11788,-18.0234308878581
11787,-19.4656865437825
11786,-18.1723261515299
11785,-19.7240178426107
11784,-20.7631108601888
11783,-18.9465329488118
11782,-15.9706049601237
11781,-17.2095270792643
11780,-17.917941792806
11779,-19.0080881754557
11778,-15.8388236999511
11777,-16.3430135091146
11776,-17.1851702372233
11775,-20.9399742126465
11774,-16.9952580769857
11773,-18.7929189046224
11772,-18.9653216044108
11771,-19.4506693522135
11770,-18.2757591247558
11769,-17.7902651468913
11768,-17.1248471577962
11767,-16.0297543843587
11766,-14.2579953511556
11765,-16.4765368143717
11764,-16.9313110351562
11763,-17.3482205708821
11762,-17.7577181498209
11761,-17.381871287028
11760,-17.7780097961426
11759,-13.9822118123372
11758,-17.0145261128743
11757,-14.873954518636
11756,-16.0623051961263
11755,-17.29111328125
11754,-19.1267163594564
11753,-16.8100634256998
11752,-20.7037198384603
11751,-18.1502861022949
11750,-16.4289115905761
11749,-20.1114130655924
11748,-16.4649490356445
11747,-16.433260345459
11746,-15.9804456075032
11745,-16.9954348246256
11744,-18.573230489095
11743,-18.5784782409668
11742,-16.7087501525879
11741,-19.6900428771972
11740,-19.5973813374837
11739,-17.3756418863932
11738,-18.8403127034505
11737,-17.4166447957357
11736,-17.8913800557454
11735,-20.0430130004883
11734,-15.7072700500488
11733,-18.777997080485
11732,-19.6894770304362
11731,-19.1851028442383
11730,-16.0459045410156
11729,-17.7234214782715
11728,-18.7819300333659
11727,-16.0109924316406
11726,-16.4993766784668
11725,-16.6371927897135
11724,-18.2458620707194
11723,-20.2631006876627
11722,-18.2871765136719
11721,-21.2105214436849
11720,-17.6870445251465
11719,-16.2071378072103
11718,-19.0305122375488
11717,-18.5874618530273
11716,-19.4607223510742
11715,-19.9521278381347
11714,-17.1602055867513
11713,-17.2374659220377
11712,-19.8807917277018
11711,-16.2293139139811
11710,-15.9715408325195
11709,-16.2313980102539
11708,-16.8780616760254
11707,-19.4397364298502
11706,-15.1952715555827
11705,-17.2915774027506
11704,-15.0166979471842
11703,-19.8378954569498
11702,-21.5558799743652
11701,-16.6704022725423
11700,-15.6981338500976
11699,-18.2080177307129
11698,-16.3393234252929
11697,-14.7271102905273
11696,-19.3891815185547
11695,-17.9242627461751
11694,-16.3925982157389
11693,-19.9081087748209
11692,-17.978685760498
11691,-17.8292742411295
11690,-16.7845914204915
11689,-17.6731094360351
11688,-17.658051554362
11687,-18.8554176330566
11686,-20.583230082194
11685,-19.2835652669271
11684,-20.4316441853841
11683,-20.239360555013
11682,-20.1751935323079
11681,-16.6880465189616
11680,-17.0556269327799
11679,-16.1222061157226
11678,-16.845556640625
11677,-19.0580988566081
11676,-19.6897593180338
11675,-18.0885999043782
11674,-20.3972991943359
11673,-18.6286643981933
11672,-16.9020573933919
11671,-18.6238782246907
11670,-21.0288019816081
11669,-18.9222473144531
11668,-18.159952545166
11667,-21.9055923461914
11666,-17.4337613423665
11665,-16.3409459431966
11664,-19.8054845174153
11663,-20.6287775675456
11662,-18.1079213460286
11661,-17.6403513590495
11660,-15.657822672526
11659,-17.1754135131836
11658,-12.8392356872558
11657,-14.7688926696777
11656,-17.3727503458659
11655,-19.1014516194661
11654,-19.8165267944336
11653,-20.5126988728841
11652,-17.4403264363607
11651,-18.5023381551107
11650,-19.6321815490722
11649,-19.2540242513021
11648,-18.9124702453613
