measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 190,6112,6116,5956,6052,6166,6319,Bchron,Yes
EN18218 191,6132,6139,5972,6073,6187,6357,Bchron,Yes
EN18218 192,6151,6160,5985,6093,6207,6389,Bchron,Yes
EN18218 193,6170,6180,6000,6111,6227,6416,Bchron,Yes
EN18218 194,6188,6199,6013,6130,6246,6445,Bchron,Yes
EN18218 195,6205,6217,6024,6149,6264,6465,Bchron,Yes
EN18218 196,6223,6234,6036,6166,6281,6483,Bchron,Yes
EN18218 197,6239,6251,6050,6183,6299,6502,Bchron,Yes
EN18218 198,6256,6267,6064,6200,6317,6519,Bchron,Yes
EN18218 199,6273,6284,6077,6218,6334,6533,Bchron,Yes
EN18218 200,6290,6299,6089,6235,6350,6546,Bchron,Yes
EN18218 201,6307,6315,6100,6252,6367,6559,Bchron,Yes
EN18218 202,6324,6331,6111,6269,6384,6572,Bchron,Yes
EN18218 203,6342,6346,6124,6287,6401,6584,Bchron,Yes
EN18218 204,6358,6362,6135,6304,6418,6599,Bchron,Yes
EN18218 205,6376,6377,6145,6321,6436,6610,Bchron,Yes
EN18218 206,6394,6393,6157,6337,6453,6621,Bchron,Yes
EN18218 207,6411,6408,6171,6354,6470,6631,Bchron,Yes
EN18218 208,6429,6424,6184,6372,6487,6643,Bchron,Yes
EN18218 209,6447,6439,6197,6389,6503,6655,Bchron,Yes
EN18218 210,6465,6455,6209,6406,6519,6667,Bchron,Yes
EN18218 211,6483,6471,6222,6423,6536,6681,Bchron,Yes
EN18218 212,6501,6488,6234,6440,6553,6695,Bchron,Yes
EN18218 213,6518,6504,6248,6458,6569,6707,Bchron,Yes
EN18218 214,6536,6522,6266,6475,6587,6721,Bchron,Yes
EN18218 215,6553,6539,6286,6494,6604,6737,Bchron,Yes
EN18218 216,6572,6558,6311,6513,6620,6754,Bchron,Yes
EN18218 217,6591,6577,6336,6534,6637,6771,Bchron,Yes
EN18218 218,6610,6597,6364,6553,6655,6789,Bchron,Yes
EN18218 219,6630,6619,6394,6576,6674,6809,Bchron,Yes
EN18218 220,6650,6643,6436,6600,6694,6829,Bchron,Yes
EN18218 221,6674,6670,6486,6627,6718,6852,Bchron,Yes
EN18218 222,6730,6748,6552,6686,6779,6956,Bchron,Yes
EN18218 223,6828,6886,6636,6777,6891,7419,Bchron,Yes
EN18218 224,6918,6998,6710,6860,6988,7720,Bchron,Yes
EN18218 225,7007,7100,6768,6943,7086,7933,Bchron,Yes
EN18218 226,7097,7194,6818,7028,7179,8073,Bchron,Yes
EN18218 227,7187,7282,6858,7115,7273,8177,Bchron,Yes
EN18218 228,7277,7368,6899,7203,7364,8276,Bchron,Yes
EN18218 229,7367,7451,6941,7292,7454,8342,Bchron,Yes
EN18218 230,7457,7532,6981,7382,7544,8412,Bchron,Yes
EN18218 231,7548,7611,7020,7472,7632,8474,Bchron,Yes
EN18218 232,7638,7688,7061,7562,7722,8527,Bchron,Yes
EN18218 233,7728,7765,7102,7652,7811,8576,Bchron,Yes
EN18218 234,7818,7841,7144,7742,7900,8623,Bchron,Yes
EN18218 235,7908,7917,7188,7831,7989,8669,Bchron,Yes
EN18218 236,7999,7993,7231,7922,8077,8715,Bchron,Yes
EN18218 237,8089,8069,7280,8012,8169,8754,Bchron,Yes
EN18218 238,8180,8145,7330,8102,8258,8796,Bchron,Yes
EN18218 239,8270,8222,7387,8191,8347,8836,Bchron,Yes
EN18218 240,8359,8300,7442,8280,8437,8873,Bchron,Yes
EN18218 241,8449,8379,7512,8369,8528,8911,Bchron,Yes
EN18218 242,8539,8459,7591,8458,8616,8950,Bchron,Yes
EN18218 243,8630,8542,7676,8548,8704,8990,Bchron,Yes
EN18218 244,8719,8627,7774,8639,8791,9032,Bchron,Yes
EN18218 245,8809,8718,7910,8730,8876,9072,Bchron,Yes
EN18218 246,8898,8814,8085,8824,8958,9120,Bchron,Yes
EN18218 247,8983,8920,8309,8919,9041,9183,Bchron,Yes
EN18218 248,9075,9040,8692,9017,9125,9254,Bchron,Yes
EN18218 249,9164,9166,9032,9120,9209,9331,Bchron,Yes
EN18218 250,9183,9186,9051,9140,9229,9354,Bchron,Yes
EN18218 251,9200,9203,9067,9157,9245,9369,Bchron,Yes
EN18218 252,9215,9219,9083,9172,9259,9382,Bchron,Yes
EN18218 253,9230,9233,9098,9188,9273,9394,Bchron,Yes
EN18218 254,9244,9247,9112,9202,9286,9403,Bchron,Yes
EN18218 255,9258,9260,9124,9217,9300,9412,Bchron,Yes
EN18218 256,9272,9273,9136,9231,9312,9421,Bchron,Yes
EN18218 257,9286,9286,9148,9245,9324,9429,Bchron,Yes
EN18218 258,9299,9298,9160,9260,9337,9437,Bchron,Yes
EN18218 259,9313,9311,9172,9274,9350,9444,Bchron,Yes
EN18218 260,9327,9323,9183,9289,9362,9453,Bchron,Yes
EN18218 261,9340,9336,9194,9305,9375,9461,Bchron,Yes
EN18218 262,9354,9348,9205,9319,9387,9469,Bchron,Yes
EN18218 263,9368,9361,9217,9335,9399,9479,Bchron,Yes
EN18218 264,9383,9374,9230,9350,9412,9487,Bchron,Yes
EN18218 265,9397,9387,9242,9366,9425,9495,Bchron,Yes
EN18218 266,9412,9400,9255,9381,9439,9505,Bchron,Yes
EN18218 267,9427,9414,9270,9397,9452,9515,Bchron,Yes
EN18218 268,9442,9429,9288,9412,9466,9524,Bchron,Yes
EN18218 269,9457,9445,9307,9428,9480,9534,Bchron,Yes
EN18218 270,9474,9463,9327,9447,9495,9551,Bchron,Yes
EN18218 271,9498,9492,9355,9475,9519,9602,Bchron,Yes
EN18218 272,9523,9524,9386,9499,9545,9672,Bchron,Yes
EN18218 273,9545,9551,9411,9519,9569,9719,Bchron,Yes
EN18218 274,9566,9575,9435,9540,9594,9755,Bchron,Yes
EN18218 275,9587,9597,9455,9559,9617,9786,Bchron,Yes
EN18218 276,9609,9619,9474,9578,9641,9816,Bchron,Yes
EN18218 277,9632,9640,9493,9596,9666,9837,Bchron,Yes
EN18218 278,9654,9660,9509,9615,9690,9857,Bchron,Yes
EN18218 279,9675,9680,9525,9633,9713,9876,Bchron,Yes
EN18218 280,9696,9699,9538,9651,9737,9895,Bchron,Yes
EN18218 281,9717,9719,9552,9671,9760,9915,Bchron,Yes
EN18218 282,9738,9738,9563,9690,9783,9930,Bchron,Yes
EN18218 283,9759,9757,9575,9709,9806,9946,Bchron,Yes
EN18218 284,9780,9777,9587,9728,9829,9962,Bchron,Yes
EN18218 285,9801,9796,9599,9748,9852,9980,Bchron,Yes
EN18218 286,9822,9816,9612,9767,9874,9998,Bchron,Yes
EN18218 287,9843,9836,9626,9787,9897,10019,Bchron,Yes
EN18218 288,9864,9857,9641,9807,9920,10042,Bchron,Yes
EN18218 289,9886,9878,9657,9828,9943,10065,Bchron,Yes
EN18218 290,9907,9901,9679,9851,9966,10090,Bchron,Yes
EN18218 291,9931,9925,9702,9874,9991,10115,Bchron,Yes
EN18218 292,9956,9951,9729,9899,10019,10142,Bchron,Yes
EN18218 293,9988,9984,9766,9929,10051,10171,Bchron,Yes
EN18218 294,10023,10020,9803,9963,10088,10206,Bchron,Yes
EN18218 295,10048,10046,9830,9989,10113,10233,Bchron,Yes
EN18218 296,10070,10069,9855,10011,10135,10259,Bchron,Yes
EN18218 297,10091,10090,9878,10032,10154,10282,Bchron,Yes
EN18218 298,10111,10110,9901,10052,10172,10305,Bchron,Yes
EN18218 299,10130,10128,9921,10072,10189,10324,Bchron,Yes
EN18218 300,10149,10147,9945,10091,10205,10343,Bchron,Yes
EN18218 301,10168,10165,9965,10111,10222,10361,Bchron,Yes
EN18218 302,10186,10183,9984,10130,10239,10378,Bchron,Yes
EN18218 303,10203,10200,10001,10148,10257,10394,Bchron,Yes
EN18218 304,10221,10218,10018,10166,10275,10409,Bchron,Yes
EN18218 305,10239,10235,10035,10185,10292,10424,Bchron,Yes
EN18218 306,10257,10252,10052,10204,10311,10440,Bchron,Yes
EN18218 307,10275,10270,10069,10222,10329,10454,Bchron,Yes
EN18218 308,10293,10287,10086,10240,10347,10470,Bchron,Yes
EN18218 309,10311,10305,10105,10256,10365,10486,Bchron,Yes
EN18218 310,10330,10323,10122,10273,10383,10503,Bchron,Yes
EN18218 311,10349,10341,10142,10291,10402,10522,Bchron,Yes
EN18218 312,10368,10360,10161,10309,10422,10541,Bchron,Yes
EN18218 313,10387,10380,10185,10330,10442,10563,Bchron,Yes
EN18218 314,10406,10401,10210,10350,10462,10586,Bchron,Yes
EN18218 315,10426,10423,10238,10373,10485,10610,Bchron,Yes
EN18218 316,10450,10449,10267,10398,10510,10633,Bchron,Yes
EN18218 317,10485,10486,10300,10432,10544,10673,Bchron,Yes
EN18218 318,10517,10519,10330,10461,10573,10714,Bchron,Yes
EN18218 319,10544,10547,10356,10486,10598,10749,Bchron,Yes
EN18218 320,10568,10571,10380,10509,10622,10784,Bchron,Yes
EN18218 321,10590,10594,10404,10533,10645,10809,Bchron,Yes
EN18218 322,10612,10616,10426,10555,10667,10832,Bchron,Yes
EN18218 323,10632,10637,10445,10577,10690,10855,Bchron,Yes
EN18218 324,10653,10658,10462,10599,10710,10874,Bchron,Yes
EN18218 325,10675,10678,10480,10621,10732,10891,Bchron,Yes
EN18218 326,10696,10698,10498,10643,10753,10907,Bchron,Yes
EN18218 327,10719,10718,10515,10663,10774,10923,Bchron,Yes
EN18218 328,10741,10738,10531,10683,10796,10939,Bchron,Yes
EN18218 329,10763,10758,10546,10702,10819,10957,Bchron,Yes
EN18218 330,10786,10778,10563,10721,10842,10974,Bchron,Yes
EN18218 331,10807,10798,10580,10740,10866,10992,Bchron,Yes
EN18218 332,10828,10819,10598,10760,10890,11011,Bchron,Yes
EN18218 333,10851,10840,10618,10781,10915,11030,Bchron,Yes
EN18218 334,10874,10861,10637,10801,10939,11051,Bchron,Yes
EN18218 335,10898,10884,10656,10822,10963,11072,Bchron,Yes
EN18218 336,10922,10908,10679,10844,10988,11095,Bchron,Yes
EN18218 337,10948,10933,10703,10870,11013,11120,Bchron,Yes
EN18218 338,10978,10962,10733,10899,11044,11148,Bchron,Yes
EN18218 339,11036,11029,10786,10960,11103,11219,Bchron,Yes
EN18218 340,11126,11147,10869,11049,11197,11578,Bchron,Yes
EN18218 341,11206,11245,10941,11127,11280,11844,Bchron,Yes
EN18218 342,11283,11333,11007,11202,11363,11998,Bchron,Yes
EN18218 343,11362,11415,11061,11273,11444,12104,Bchron,Yes
EN18218 344,11441,11493,11112,11348,11525,12199,Bchron,Yes
EN18218 345,11520,11568,11157,11425,11606,12271,Bchron,Yes
EN18218 346,11601,11641,11198,11505,11685,12334,Bchron,Yes
EN18218 347,11681,11713,11236,11586,11765,12389,Bchron,Yes
EN18218 348,11761,11784,11274,11668,11843,12444,Bchron,Yes
EN18218 349,11843,11854,11314,11751,11921,12488,Bchron,Yes
EN18218 350,11924,11923,11358,11836,12000,12530,Bchron,Yes
EN18218 351,12004,11993,11403,11920,12079,12573,Bchron,Yes
EN18218 352,12085,12063,11445,12004,12158,12614,Bchron,Yes
EN18218 353,12166,12133,11493,12088,12238,12650,Bchron,Yes
EN18218 354,12248,12204,11538,12170,12318,12690,Bchron,Yes
EN18218 355,12330,12275,11589,12253,12398,12727,Bchron,Yes
EN18218 356,12411,12348,11645,12336,12477,12764,Bchron,Yes
EN18218 357,12493,12422,11715,12419,12558,12800,Bchron,Yes
EN18218 358,12574,12500,11810,12503,12637,12838,Bchron,Yes
EN18218 359,12656,12581,11914,12587,12716,12877,Bchron,Yes
EN18218 360,12736,12667,12041,12671,12794,12923,Bchron,Yes
EN18218 361,12818,12760,12233,12759,12870,12974,Bchron,Yes
EN18218 362,12900,12867,12573,12850,12949,13036,Bchron,Yes
