measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 122,4598,4595,4357,4524,4668,4829,Bacon,Yes
EN18218 123,4624,4621,4388,4551,4692,4851,Bacon,Yes
EN18218 124,4649,4646,4417,4578,4715,4872,Bacon,Yes
EN18218 125,4674,4672,4448,4606,4739,4894,Bacon,Yes
EN18218 126,4700,4697,4476,4634,4764,4916,Bacon,Yes
EN18218 127,4724,4723,4505,4661,4788,4939,Bacon,Yes
EN18218 128,4748,4749,4538,4687,4811,4960,Bacon,Yes
EN18218 129,4774,4774,4570,4713,4834,4983,Bacon,Yes
EN18218 130,4799,4800,4602,4740,4858,5001,Bacon,Yes
EN18218 131,4825,4825,4632,4767,4881,5025,Bacon,Yes
EN18218 132,4849,4851,4663,4793,4906,5045,Bacon,Yes
EN18218 133,4875,4877,4697,4822,4930,5067,Bacon,Yes
EN18218 134,4902,4903,4728,4850,4954,5090,Bacon,Yes
EN18218 135,4927,4930,4761,4876,4979,5113,Bacon,Yes
EN18218 136,4950,4955,4793,4902,5002,5137,Bacon,Yes
EN18218 137,4976,4981,4826,4929,5025,5158,Bacon,Yes
EN18218 138,5003,5007,4860,4957,5049,5180,Bacon,Yes
EN18218 139,5027,5032,4891,4984,5073,5201,Bacon,Yes
EN18218 140,5051,5056,4917,5009,5096,5224,Bacon,Yes
EN18218 141,5074,5080,4940,5032,5119,5244,Bacon,Yes
EN18218 142,5099,5103,4964,5055,5143,5266,Bacon,Yes
EN18218 143,5121,5126,4984,5079,5166,5289,Bacon,Yes
EN18218 144,5145,5149,5007,5102,5188,5312,Bacon,Yes
EN18218 145,5168,5172,5029,5126,5210,5333,Bacon,Yes
EN18218 146,5190,5195,5053,5149,5233,5354,Bacon,Yes
EN18218 147,5214,5217,5074,5173,5257,5378,Bacon,Yes
EN18218 148,5236,5240,5099,5196,5279,5399,Bacon,Yes
EN18218 149,5260,5263,5124,5220,5301,5419,Bacon,Yes
EN18218 150,5282,5286,5146,5243,5322,5439,Bacon,Yes
EN18218 151,5306,5309,5173,5267,5344,5461,Bacon,Yes
EN18218 152,5328,5331,5194,5291,5366,5480,Bacon,Yes
EN18218 153,5350,5354,5219,5313,5388,5502,Bacon,Yes
EN18218 154,5373,5377,5244,5338,5411,5522,Bacon,Yes
EN18218 155,5396,5399,5267,5361,5432,5544,Bacon,Yes
EN18218 156,5419,5422,5293,5384,5455,5566,Bacon,Yes
EN18218 157,5442,5445,5317,5408,5477,5587,Bacon,Yes
EN18218 158,5465,5468,5344,5431,5499,5609,Bacon,Yes
EN18218 159,5488,5491,5370,5455,5521,5628,Bacon,Yes
EN18218 160,5510,5514,5396,5479,5542,5651,Bacon,Yes
EN18218 161,5532,5537,5423,5502,5563,5671,Bacon,Yes
EN18218 162,5556,5560,5451,5526,5584,5692,Bacon,Yes
EN18218 163,5579,5583,5477,5551,5606,5715,Bacon,Yes
EN18218 164,5603,5607,5500,5575,5631,5738,Bacon,Yes
